memory_cap_gib,stripe_degree,depth_span,chunk_rows,worker_count,pod_count,workers_per_pod,estimated_max_static_bytes,estimated_routed_expert_weight_bytes,expert_allocation_overhead_factor,estimated_max_peak_bytes,estimated_max_peak_gib,largest_expert_fraction,largest_layer_fraction_estimate,capacity_valid,invalid_reason,valid,ownership_valid,memory_evidence
8,8,2,4,376,47,8,4543506738,3930587136,1.0137388288648792,5128185568,4.7759949862957,0.125,0.125,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
8,8,4,1,192,24,8,8740384278,7861174272,1.0137388288648792,9678321160,9.013638980686665,0.125,0.125,False,estimated_worker_peak_exceeds_cap,False,True,conservative analytical prefilter; tier winner receives byte-exact manifest
8,8,4,2,192,24,8,8740384278,7861174272,1.0137388288648792,9678797893,9.014082972891629,0.125,0.125,False,estimated_worker_peak_exceeds_cap,False,True,conservative analytical prefilter; tier winner receives byte-exact manifest
8,8,4,4,192,24,8,8740384278,7861174272,1.0137388288648792,9679751360,9.01497095823288,0.125,0.125,False,estimated_worker_peak_exceeds_cap,False,True,conservative analytical prefilter; tier winner receives byte-exact manifest
8,8,8,1,96,12,8,17187164587,15722348544,1.0137388288648792,18500894587,17.23030077945441,0.125,0.125,False,estimated_worker_peak_exceeds_cap,False,True,conservative analytical prefilter; tier winner receives byte-exact manifest
8,8,8,2,96,12,8,17187164587,15722348544,1.0137388288648792,18501489449,17.23085478786379,0.125,0.125,False,estimated_worker_peak_exceeds_cap,False,True,conservative analytical prefilter; tier winner receives byte-exact manifest
8,8,8,4,96,12,8,17187164587,15722348544,1.0137388288648792,18502679173,17.231962804682553,0.125,0.125,False,estimated_worker_peak_exceeds_cap,False,True,conservative analytical prefilter; tier winner receives byte-exact manifest
8,16,1,1,1488,93,16,1209284073,982646784,1.0030678938241964,1353646127,1.260681196115911,0.0625,0.0625,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
8,16,1,2,1488,93,16,1209284073,982646784,1.0030678938241964,1354002623,1.2610132088884711,0.0625,0.0625,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
8,16,1,4,1488,93,16,1209284073,982646784,1.0030678938241964,1354715613,1.2616772325709462,0.0625,0.0625,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
8,16,2,1,752,47,16,2271753369,1965293568,1.0030678938241964,2543144468,2.3684878535568714,0.0625,0.0625,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
8,16,2,2,752,47,16,2271753369,1965293568,1.0030678938241964,2543530496,2.368847370147705,0.0625,0.0625,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
8,16,2,4,752,47,16,2271753369,1965293568,1.0030678938241964,2544302551,2.36956640239805,0.0625,0.0625,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
8,16,4,1,384,24,16,4370192139,3930587136,1.0030678938241964,4901849084,4.565202709287405,0.0625,0.0625,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
8,16,4,2,384,24,16,4370192139,3930587136,1.0030678938241964,4902294176,4.565617233514786,0.0625,0.0625,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
