workers,rtt_ms,bandwidth_gbps,transmission_ms,projected_distributed_layer_p50_ms,whole_layer_relative_throughput,break_even_vs_resident,useful_90_percent_capacity
2,20.0,0.1,12.61568,35.70795199373245,0.09139280798217743,False,False
2,20.0,0.25,5.046272,28.138543993732455,0.11597792695765981,False,False
2,20.0,0.5,2.523136,25.615407993732454,0.12740183567634358,False,False
2,20.0,1.0,1.261568,24.353839993732453,0.13400145524647694,False,False
2,20.0,2.5,0.5046272,23.596899193732455,0.13829995090485453,False,False
2,20.0,5.0,0.2523136,23.344585593732454,0.13979472828492487,False,False
2,20.0,10.0,0.1261568,23.218428793732453,0.14055429973284542,False,False
2,20.0,25.0,0.05046272,23.14273471373245,0.1410140175898716,False,False
2,20.0,100.0,0.01261568,23.104887673732453,0.14124500608198842,False,False
4,0.1,0.1,8.02816,11.56271595972538,0.31825135312650177,False,False
4,0.1,0.25,3.211264,6.74581995972538,0.5455007726221329,False,False
4,0.1,0.5,1.605632,5.14018795972538,0.7158979455289413,False,False
4,0.1,1.0,0.802816,4.33737195972538,0.8484054478539556,False,False
4,0.1,2.5,0.3211264,3.85568235972538,0.9543965650381263,False,True
4,0.1,5.0,0.1605632,3.69511915972538,0.9958677490318026,False,True
4,0.1,10.0,0.0802816,3.6148375597253803,1.017984885683095,True,True
4,0.1,25.0,0.03211264,3.56666859972538,1.0317330856820661,True,True
4,0.1,100.0,0.00802816,3.54258411972538,1.0387473876796074,True,True
4,0.25,0.1,8.02816,11.71271595972538,0.3141756372009109,False,False
4,0.25,0.25,3.211264,6.8958199597253795,0.533634871776227,False,False
4,0.25,0.5,1.605632,5.29018795972538,0.6955991030970903,False,False
4,0.25,1.0,0.802816,4.48737195972538,0.8200456822004123,False,False
4,0.25,2.5,0.3211264,4.00568235972538,0.9186574644556393,False,True
4,0.25,5.0,0.1605632,3.84511915972538,0.9570184556420396,False,True
4,0.25,10.0,0.0802816,3.7648375597253803,0.9774259690153592,False,True
4,0.25,25.0,0.03211264,3.71666859972538,0.9900936554504483,False,True
4,0.25,100.0,0.00802816,3.69258411972538,0.996551434087214,False,True
4,0.5,0.1,8.02816,11.96271595972538,0.3076099116947082,False,False
4,0.5,0.25,3.211264,7.1458199597253795,0.5149653952576522,False,False
4,0.5,0.5,1.605632,5.54018795972538,0.6642103168251363,False,False
4,0.5,1.0,0.802816,4.73737195972538,0.7767703341186063,False,False
4,0.5,2.5,0.3211264,4.25568235972538,0.8646909447060944,False,False
4,0.5,5.0,0.1605632,4.09511915972538,0.8985941205790876,False,False
4,0.5,10.0,0.0802816,4.01483755972538,0.9165626118760597,False,True
4,0.5,25.0,0.03211264,3.96666859972538,0.9276928252223449,False,True
4,0.5,100.0,0.00802816,3.94258411972538,0.9333599203601316,False,True
4,1.0,0.1,8.02816,12.46271595972538,0.29526870482259526,False,False
4,1.0,0.25,3.211264,7.6458199597253795,0.4812891252192357,False,False
