inventory_id,arm,primary_latency_budget_ms,c1_tps,c1_p95,c1_eligible,c8_tps,c8_p95,c8_eligible,c32_tps,c32_p95,c32_eligible,c64_tps,c64_p95,c64_eligible,c128_tps,c128_p95,c128_eligible,selected_slo_concurrency,selected_slo_tps,distance_to_budget_ms_at_next_higher_throughput_point,distance_to_budget_percent
compute-heterogeneous-02,FLEX_FREE_NO_ALT,3445.4721262271923,9.82363936549213,1730.5195526335738,True,52.961530540116144,2610.6125585729715,True,44.71966267785865,9454.409759635173,False,29.892043427054567,18656.312444170122,False,29.63454150650937,37239.011404790945,False,8,52.961530540116144,,
compute-heterogeneous-02,FLEX_POOL,3445.4721262271923,9.82363936549213,1730.5195526335738,True,54.72255106124353,2503.024717886645,True,44.561497928237856,9453.298708944329,False,29.951536425158302,18684.44859479414,False,29.685705249753074,37358.22468143449,False,8,54.72255106124353,,
compute-heterogeneous-02,FLEX_POOL_NO_ALT,3445.4721262271923,9.82363936549213,1730.5195526335738,True,52.961530540116144,2610.6125585729715,True,44.71966267785865,9454.409759635173,False,29.892043427054567,18656.312444170122,False,29.63454150650937,37239.011404790945,False,8,52.961530540116144,,
compute-heterogeneous-02,U_STRONG,3445.4721262271923,9.868023526064707,1722.7360631135962,True,53.602954041861835,2611.9093651265393,True,44.7736767070817,9399.113301179916,False,30.037815260712502,18529.506546554334,False,29.652466862525543,37274.397566117244,False,8,53.602954041861835,,
compute-heterogeneous-03,FLEX_FREE,3555.157388880645,9.563570970543617,1777.5786944403226,True,54.26243375988494,2522.3724646263036,True,46.48042763959832,9024.650748389897,False,30.886969029071807,18107.265050243943,False,30.75990628217552,35597.20366012639,False,8,54.26243375988494,,
compute-heterogeneous-03,FLEX_FREE_NO_ALT,3555.157388880645,9.563570970543617,1777.5786944403226,True,54.26243375988494,2522.3724646263036,True,46.48042763959832,9024.650748389897,False,30.886969029071807,18107.265050243943,False,30.75990628217552,35597.20366012639,False,8,54.26243375988494,,
compute-heterogeneous-03,FLEX_POOL,3555.157388880645,9.563570970543617,1777.5786944403226,True,54.26243375988494,2522.3724646263036,True,46.48042763959832,9024.650748389897,False,30.886969029071807,18107.265050243943,False,30.75990628217552,35597.20366012639,False,8,54.26243375988494,,
compute-heterogeneous-03,FLEX_POOL_NO_ALT,3555.157388880645,9.563570970543617,1777.5786944403226,True,54.26243375988494,2522.3724646263036,True,46.48042763959832,9024.650748389897,False,30.886969029071807,18107.265050243943,False,30.75990628217552,35597.20366012639,False,8,54.26243375988494,,
compute-heterogeneous-03,U_STRONG,3555.157388880645,9.563570970543617,1777.5786944403226,True,54.26243375988494,2522.3724646263036,True,46.48042763959832,9024.650748389897,False,30.886969029071807,18107.265050243943,False,30.75990628217552,35597.20366012639,False,8,54.26243375988494,,
compute-heterogeneous-04,FLEX_FREE,3573.229235267281,9.515202569272173,1786.6146176336406,True,55.52664438254195,2420.4310195403305,True,46.46607913981933,9108.490435607779,False,30.845663767751635,18048.19922198917,False,30.83121531769923,35808.60328610767,False,8,55.52664438254195,,
compute-heterogeneous-04,FLEX_FREE_NO_ALT,3573.229235267281,9.515202569272173,1786.6146176336406,True,55.52664438254195,2420.4310195403305,True,46.46607913981933,9108.490435607779,False,30.845663767751635,18048.19922198917,False,30.83121531769923,35808.60328610767,False,8,55.52664438254195,,
compute-heterogeneous-04,FLEX_POOL,3573.229235267281,9.515202569272173,1786.6146176336406,True,55.52664438254195,2420.4310195403305,True,46.46607913981933,9108.490435607779,False,30.845663767751635,18048.19922198917,False,30.83121531769923,35808.60328610767,False,8,55.52664438254195,,
compute-heterogeneous-04,FLEX_POOL_NO_ALT,3573.229235267281,9.515202569272173,1786.6146176336406,True,55.52664438254195,2420.4310195403305,True,46.46607913981933,9108.490435607779,False,30.845663767751635,18048.19922198917,False,30.83121531769923,35808.60328610767,False,8,55.52664438254195,,
compute-heterogeneous-04,U_STRONG,3573.229235267281,9.515202569272173,1786.6146176336406,True,55.52664438254195,2420.4310195403305,True,46.46607913981933,9108.490435607779,False,30.845663767751635,18048.19922198917,False,30.83121531769923,35808.60328610767,False,8,55.52664438254195,,
compute-heterogeneous-05,FLEX_FREE,3411.9902853871026,9.964858383572496,1705.9951426935513,True,53.746267648859174,2546.7098654666825,True,44.61155496399314,9407.414583237196,False,30.078728911129954,18630.841156656425,False,30.01105791437119,36856.48600047162,False,8,53.746267648859174,,
compute-heterogeneous-05,FLEX_FREE_NO_ALT,3411.9902853871026,9.964858383572496,1705.9951426935513,True,53.746267648859174,2546.7098654666825,True,44.61155496399314,9407.414583237196,False,30.078728911129954,18630.841156656425,False,30.01105791437119,36856.48600047162,False,8,53.746267648859174,,
compute-heterogeneous-05,FLEX_POOL,3411.9902853871026,9.964858383572496,1705.9951426935513,True,53.746267648859174,2546.7098654666825,True,44.61155496399314,9407.414583237196,False,30.078728911129954,18630.841156656425,False,30.01105791437119,36856.48600047162,False,8,53.746267648859174,,
compute-heterogeneous-05,FLEX_POOL_NO_ALT,3411.9902853871026,9.964858383572496,1705.9951426935513,True,53.746267648859174,2546.7098654666825,True,44.61155496399314,9407.414583237196,False,30.078728911129954,18630.841156656425,False,30.01105791437119,36856.48600047162,False,8,53.746267648859174,,
compute-heterogeneous-05,U_STRONG,3411.9902853871026,9.964858383572496,1705.9951426935513,True,53.746267648859174,2546.7098654666825,True,44.61155496399314,9407.414583237196,False,30.078728911129954,18630.841156656425,False,30.01105791437119,36856.48600047162,False,8,53.746267648859174,,
compute-heterogeneous-06,FLEX_FREE,3413.799521053894,9.605955834054795,1769.7353905935888,True,54.10369337632941,2546.798836560345,True,44.52418885033967,9449.053944567868,False,29.780600130315648,18774.585283238484,False,29.469971779877348,37394.55316510573,False,8,54.10369337632941,,
compute-heterogeneous-06,FLEX_FREE_NO_ALT,3413.799521053894,9.605955834054795,1769.7353905935888,True,53.45219668469962,2604.1817493867093,True,44.80988479516,9467.898391906405,False,29.81264839991469,18695.631199168925,False,29.48269019423448,37317.12470478953,False,8,53.45219668469962,,
compute-heterogeneous-06,FLEX_POOL,3413.799521053894,9.605955834054795,1769.7353905935888,True,54.10369337632941,2546.798836560345,True,44.52418885033967,9449.053944567868,False,29.780600130315648,18774.585283238484,False,29.469971779877348,37394.55316510573,False,8,54.10369337632941,,
compute-heterogeneous-06,FLEX_POOL_NO_ALT,3413.799521053894,9.605955834054795,1769.7353905935888,True,53.45219668469962,2604.1817493867093,True,44.80988479516,9467.898391906405,False,29.81264839991469,18695.631199168925,False,29.48269019423448,37317.12470478953,False,8,53.45219668469962,,
compute-heterogeneous-06,U_STRONG,3413.799521053894,9.95957723654329,1706.899760526947,True,52.67364787613885,2660.6287993997466,True,44.07303333384195,9591.229131940849,False,29.60048421653561,18861.940068723285,False,29.282758120637652,37820.1269638015,False,8,52.67364787613885,,
full-mixed-01,FLEX_FREE,3730.456286413886,9.114166576309609,1865.228143206943,True,58.89366779358244,2220.577998000028,True,47.565227769388734,8667.045640961966,False,31.87360623721659,17334.09128192393,False,31.628424650786187,34668.182563843206,False,8,58.89366779358244,,
full-mixed-01,FLEX_FREE_NO_ALT,3730.456286413886,9.114166576309609,1865.228143206943,True,58.89366779358244,2220.577998000028,True,47.565227769388734,8667.045640961966,False,31.87360623721659,17334.09128192393,False,31.628424650786187,34668.182563843206,False,8,58.89366779358244,,
full-mixed-01,FLEX_POOL,3730.456286413886,9.068385687143014,1874.6445714269357,True,58.49228461908466,2266.414516360035,True,47.565227769388756,8667.045640961966,False,31.87360623721658,17334.09128192393,False,31.628424650786158,34668.182563843206,False,8,58.49228461908466,,
full-mixed-01,FLEX_POOL_NO_ALT,3730.456286413886,9.068385687143014,1874.6445714269357,True,58.112619843917784,2265.413871040035,True,47.565227769388756,8667.045640961966,False,31.87360623721658,17334.09128192393,False,31.628424650786158,34668.182563843206,False,8,58.112619843917784,,
full-mixed-01,U_STRONG,3730.456286413886,9.114166576309609,1865.228143206943,True,58.89366779358244,2220.577998000028,True,47.565227769388734,8667.045640961966,False,31.87360623721659,17334.09128192393,False,31.628424650786187,34668.182563843206,False,8,58.89366779358244,,
full-mixed-02,FLEX_FREE,3888.5198908005405,8.681111508939715,1958.274580680256,True,52.88604998362452,2526.331948959669,True,42.16090109017692,9919.738241418137,False,28.412927234032352,19472.522727872634,False,28.059424642884867,39255.90951552459,False,8,52.88604998362452,,
full-mixed-02,FLEX_FREE_NO_ALT,3888.5198908005405,8.681111508939715,1958.274580680256,True,52.788074584614016,2552.01384300019,True,42.38861435735401,9926.156453308826,False,28.436335756861,19700.097720752772,False,28.095145663516234,39177.87007093975,False,8,52.788074584614016,,
full-mixed-02,FLEX_POOL,3888.5198908005405,8.681111508939715,1958.274580680256,True,52.88604998362452,2526.331948959669,True,42.16090109017692,9919.738241418137,False,28.412927234032352,19472.522727872634,False,28.059424642884867,39255.90951552459,False,8,52.88604998362452,,
full-mixed-02,FLEX_POOL_NO_ALT,3888.5198908005405,8.681111508939715,1958.274580680256,True,52.788074584614016,2552.01384300019,True,42.38861435735401,9926.156453308826,False,28.436335756861,19700.097720752772,False,28.095145663516234,39177.87007093975,False,8,52.788074584614016,,
