inventory_id,arm,network_mode,concurrency,network_bytes,transfer_count,network_queue_wait_ms,maximum_tx_utilization,maximum_rx_utilization,maximum_directed_link_utilization,target_rows_measured,network_bytes_per_target_row
coarse-friendly-02,FLEX_FREE_NO_ALT,SHARED_NIC,32,5681847168,52477,8986.208775984931,0.088616009600318,0.10345248287459627,0.016932010890300334,1649,3445632.0
coarse-friendly-02,FLEX_FREE_NO_ALT,SHARED_NIC,64,3807423360,35165,5924.569416499551,0.05882571467496352,0.06867456870880921,0.011239928834513952,1105,3445632.0
coarse-friendly-02,FLEX_FREE_NO_ALT,SHARED_NIC,128,7556270976,69789,11967.907903656102,0.058965960428866315,0.06883829500972619,0.011266725828004347,2193,3445632.0
coarse-friendly-02,FLEX_POOL,LEGACY_DIRECTED_LINK,1,7497695232,69248,0.0,0.008537833221612844,0.009967273962445414,0.0016313382394437907,2176,3445632.0
coarse-friendly-02,FLEX_POOL,LEGACY_DIRECTED_LINK,8,7087665024,65461,0.0,0.008070920467308507,0.009422188667627236,0.0015421244294747084,2057,3445632.0
coarse-friendly-02,FLEX_POOL,LEGACY_DIRECTED_LINK,32,5681847168,52477,0.0,0.006470076738274651,0.007553324799690371,0.0012362485095825408,1649,3445632.0
coarse-friendly-02,FLEX_POOL,LEGACY_DIRECTED_LINK,64,3807423360,35165,0.0,0.004335618432888354,0.005061506309098754,0.0008284139497248228,1105,3445632.0
coarse-friendly-02,FLEX_POOL,LEGACY_DIRECTED_LINK,128,7556270976,69789,0.0,0.004302267521858617,0.0050225716451738475,0.0008220415347255063,2193,3445632.0
coarse-friendly-02,FLEX_POOL,SHARED_NIC,1,7497695232,69248,9763.366502435876,0.02568935490946683,0.02999037714311058,0.004908508508267588,2176,3445632.0
coarse-friendly-02,FLEX_POOL,SHARED_NIC,8,7090977024,65529,11233.25421169478,0.11240715638447855,0.13113219838765644,0.025668163485849323,2057,3447242.1118133203
coarse-friendly-02,FLEX_POOL,SHARED_NIC,32,5684842368,52541,8923.71869888395,0.08955277574023296,0.10445787596579854,0.020233536887360713,1649,3447448.3735597334
coarse-friendly-02,FLEX_POOL,SHARED_NIC,64,3809928960,35213,5811.065699301711,0.059298263956410684,0.06916040323798764,0.013166087239416651,1105,3447899.511312217
coarse-friendly-02,FLEX_POOL,SHARED_NIC,128,7560533376,69875,12217.420496841281,0.05916348480661285,0.06900977753354522,0.01325482359570556,2193,3447575.638850889
coarse-friendly-02,FLEX_POOL_NO_ALT,SHARED_NIC,1,7497695232,69248,9773.93312003337,0.02568935490946683,0.02999037714311058,0.004908508508267588,2176,3445632.0
coarse-friendly-02,FLEX_POOL_NO_ALT,SHARED_NIC,8,7087665024,65461,11093.069359892193,0.11144762468644162,0.13010666510814284,0.021294486215300813,2057,3445632.0
coarse-friendly-02,FLEX_POOL_NO_ALT,SHARED_NIC,32,5681847168,52477,8986.208775984931,0.088616009600318,0.10345248287459627,0.016932010890300334,1649,3445632.0
coarse-friendly-02,FLEX_POOL_NO_ALT,SHARED_NIC,64,3807423360,35165,5924.569416499551,0.05882571467496352,0.06867456870880921,0.011239928834513952,1105,3445632.0
coarse-friendly-02,FLEX_POOL_NO_ALT,SHARED_NIC,128,7556270976,69789,11967.907903656102,0.058965960428866315,0.06883829500972619,0.011266725828004347,2193,3445632.0
coarse-friendly-02,U_STRONG,LEGACY_DIRECTED_LINK,1,7121403904,60928,0.0,0.003191552819750725,0.004629581717118068,0.0016375131519615652,2176,3272704.0
coarse-friendly-02,U_STRONG,LEGACY_DIRECTED_LINK,8,6731952128,57596,0.0,0.003017014774921445,0.004376401466964389,0.0015479616514640971,2057,3272704.0
coarse-friendly-02,U_STRONG,LEGACY_DIRECTED_LINK,32,5396688896,46172,0.0,0.0024185986212251517,0.003508354895014864,0.0012409279354748798,1649,3272704.0
coarse-friendly-02,U_STRONG,LEGACY_DIRECTED_LINK,64,3616337920,30940,0.0,0.0016207104162938239,0.0023509594657445624,0.0008315496474877472,1105,3272704.0
coarse-friendly-02,U_STRONG,LEGACY_DIRECTED_LINK,128,7177039872,61404,0.0,0.0016082434130887924,0.0023328751621578864,0.0008251531117364193,2193,3272704.0
coarse-friendly-02,U_STRONG,SHARED_NIC,1,7121403904,60928,1509.3985279971444,0.009697653694465137,0.014067158771429913,0.00497564551323817,2176,3272704.0
coarse-friendly-02,U_STRONG,SHARED_NIC,8,6731952128,57596,2064.8763848977005,0.04137415941584008,0.060016256289833925,0.02122814003751447,2057,3272704.0
coarse-friendly-02,U_STRONG,SHARED_NIC,32,5396688896,46172,1616.4446918981557,0.03322915808556153,0.04820133378214223,0.017049125133378484,1649,3272704.0
coarse-friendly-02,U_STRONG,SHARED_NIC,64,3616337920,30940,1104.841672397859,0.02215365483825899,0.03213550306040645,0.011366536357214187,1105,3272704.0
coarse-friendly-02,U_STRONG,SHARED_NIC,128,7177039872,61404,2166.480693679725,0.022055837815187232,0.03199361228584878,0.011316348667768941,2193,3272704.0
coarse-friendly-03,FLEX_FREE,SHARED_NIC,1,7121403904,60928,1509.3985279970425,0.00978038663012056,0.01418716896958285,0.004729056323194286,2176,3272704.0
coarse-friendly-03,FLEX_FREE,SHARED_NIC,8,6731952128,57596,1907.9521462969506,0.04100426355136468,0.059479695177382504,0.019826565059127513,2057,3272704.0
coarse-friendly-03,FLEX_FREE,SHARED_NIC,32,5396688896,46172,1514.0696678979075,0.032725983964491286,0.0474714427720302,0.015823814257343412,1649,3272704.0
coarse-friendly-03,FLEX_FREE,SHARED_NIC,64,3616337920,30940,1048.739031800018,0.021815746140983652,0.0316453416827598,0.010548447227586613,1105,3272704.0
coarse-friendly-03,FLEX_FREE,SHARED_NIC,128,7177039872,61404,2056.030365698287,0.021839967048623954,0.0316804758878055,0.010560158629268505,2193,3272704.0
coarse-friendly-03,FLEX_FREE_NO_ALT,SHARED_NIC,1,7121403904,60928,1509.3985279970425,0.00978038663012056,0.01418716896958285,0.004729056323194286,2176,3272704.0
coarse-friendly-03,FLEX_FREE_NO_ALT,SHARED_NIC,8,6731952128,57596,1907.9521462969506,0.04100426355136468,0.059479695177382504,0.019826565059127513,2057,3272704.0
coarse-friendly-03,FLEX_FREE_NO_ALT,SHARED_NIC,32,5396688896,46172,1514.0696678979075,0.032725983964491286,0.0474714427720302,0.015823814257343412,1649,3272704.0
coarse-friendly-03,FLEX_FREE_NO_ALT,SHARED_NIC,64,3616337920,30940,1048.739031800018,0.021815746140983652,0.0316453416827598,0.010548447227586613,1105,3272704.0
coarse-friendly-03,FLEX_FREE_NO_ALT,SHARED_NIC,128,7177039872,61404,2056.030365698287,0.021839967048623954,0.0316804758878055,0.010560158629268505,2193,3272704.0
coarse-friendly-03,FLEX_POOL,LEGACY_DIRECTED_LINK,1,8375058432,87168,0.0,0.008431662432257405,0.009843327603123718,0.0015614807214250593,2176,3848832.0
coarse-friendly-03,FLEX_POOL,LEGACY_DIRECTED_LINK,8,7917047424,82401,0.0,0.00797055589299726,0.009305020624832482,0.0014760872444728548,2057,3848832.0
coarse-friendly-03,FLEX_POOL,LEGACY_DIRECTED_LINK,32,6346723968,66057,0.0,0.0063896191869675205,0.007459396699268403,0.001183309609209086,1649,3848832.0
coarse-friendly-03,FLEX_POOL,LEGACY_DIRECTED_LINK,64,4252959360,44265,0.0,0.004281703578919286,0.004998564798506278,0.0007929394288558049,1105,3848832.0
