layer,layer_type,operation,degree,rows,p50_ms,source_layer,measurement_kind,candidate_id,evidence_class
1,KDA,latent_up,8,4,0.0815,45,FRESH_PHYSICAL_TYPE_CONDITIONED,layer-01:FULL_MIXED_STRIPE:p8,PHYSICALLY_GROUNDED_MODEL_INPUT
1,KDA,latent_up_reduction,8,4,1.5376,45,FRESH_PHYSICAL_TYPE_CONDITIONED,layer-01:FULL_MIXED_STRIPE:p8,PHYSICALLY_GROUNDED_MODEL_INPUT
1,KDA,output_state_commit,1,4,0.18295,45,FRESH_PHYSICAL_TYPE_CONDITIONED,layer-01:FULL_MIXED_STRIPE:p8,PHYSICALLY_GROUNDED_MODEL_INPUT
1,KDA,post_attention_preprocess,1,4,0.9783,45,FRESH_PHYSICAL_TYPE_CONDITIONED,layer-01:FULL_MIXED_STRIPE:p8,PHYSICALLY_GROUNDED_MODEL_INPUT
1,KDA,routed_norm,1,4,0.1302,45,FRESH_PHYSICAL_TYPE_CONDITIONED,layer-01:FULL_MIXED_STRIPE:p8,PHYSICALLY_GROUNDED_MODEL_INPUT
1,KDA,routed_shared_reduction,2,4,1.2015,45,FRESH_PHYSICAL_TYPE_CONDITIONED,layer-01:FULL_MIXED_STRIPE:p8,PHYSICALLY_GROUNDED_MODEL_INPUT
1,KDA,router,1,4,0.64645,45,FRESH_PHYSICAL_TYPE_CONDITIONED,layer-01:FULL_MIXED_STRIPE:p8,PHYSICALLY_GROUNDED_MODEL_INPUT
1,KDA,shared_expert,8,4,0.2192,45,FRESH_PHYSICAL_TYPE_CONDITIONED,layer-01:FULL_MIXED_STRIPE:p8,PHYSICALLY_GROUNDED_MODEL_INPUT
1,KDA,shared_reduction,8,4,1.5376,45,FRESH_PHYSICAL_TYPE_CONDITIONED,layer-01:FULL_MIXED_STRIPE:p8,PHYSICALLY_GROUNDED_MODEL_INPUT
1,KDA,worker_protocol,1,4,0.6952,45,FROZEN_PHYSICAL_AUTHENTICATED_FRAME,layer-01:FULL_MIXED_STRIPE:p8,PHYSICAL_INHERITED_E022
1,KDA,whole_layer,1,4,8.604849999999999,45,PHYSICAL_TYPE_CONDITIONED,layer-01:WHOLE_LAYER:p1,PHYSICALLY_GROUNDED_MODEL_INPUT
2,KDA,attention_common,1,1,0.050699999999999995,45,FRESH_PHYSICAL_TYPE_CONDITIONED,layer-02:FULL_MIXED_STRIPE:p8,PHYSICALLY_GROUNDED_MODEL_INPUT
2,KDA,attention_preprocess,1,1,0.3388,45,FRESH_PHYSICAL_TYPE_CONDITIONED,layer-02:FULL_MIXED_STRIPE:p8,PHYSICALLY_GROUNDED_MODEL_INPUT
2,KDA,attention_reduction,8,1,1.5225,45,FRESH_PHYSICAL_TYPE_CONDITIONED,layer-02:FULL_MIXED_STRIPE:p8,PHYSICALLY_GROUNDED_MODEL_INPUT
2,KDA,attention_shard,8,1,0.3079,45,FRESH_PHYSICAL_TYPE_CONDITIONED,layer-02:FULL_MIXED_STRIPE:p8,PHYSICALLY_GROUNDED_MODEL_INPUT
2,KDA,expert_reduction,8,1,1.183,45,FRESH_PHYSICAL_TYPE_CONDITIONED,layer-02:FULL_MIXED_STRIPE:p8,PHYSICALLY_GROUNDED_MODEL_INPUT
2,KDA,expert_stripe,8,1,0.23620000000000002,45,FRESH_PHYSICAL_TYPE_CONDITIONED,layer-02:FULL_MIXED_STRIPE:p8,PHYSICALLY_GROUNDED_MODEL_INPUT
2,KDA,latent_down,8,1,0.0447,45,FRESH_PHYSICAL_TYPE_CONDITIONED,layer-02:FULL_MIXED_STRIPE:p8,PHYSICALLY_GROUNDED_MODEL_INPUT
2,KDA,latent_up,8,1,0.0463,45,FRESH_PHYSICAL_TYPE_CONDITIONED,layer-02:FULL_MIXED_STRIPE:p8,PHYSICALLY_GROUNDED_MODEL_INPUT
2,KDA,latent_up_reduction,8,1,1.46,45,FRESH_PHYSICAL_TYPE_CONDITIONED,layer-02:FULL_MIXED_STRIPE:p8,PHYSICALLY_GROUNDED_MODEL_INPUT
2,KDA,output_state_commit,1,1,0.15115,45,FRESH_PHYSICAL_TYPE_CONDITIONED,layer-02:FULL_MIXED_STRIPE:p8,PHYSICALLY_GROUNDED_MODEL_INPUT
2,KDA,post_attention_preprocess,1,1,0.3276,45,FRESH_PHYSICAL_TYPE_CONDITIONED,layer-02:FULL_MIXED_STRIPE:p8,PHYSICALLY_GROUNDED_MODEL_INPUT
2,KDA,routed_norm,1,1,0.13645000000000002,45,FRESH_PHYSICAL_TYPE_CONDITIONED,layer-02:FULL_MIXED_STRIPE:p8,PHYSICALLY_GROUNDED_MODEL_INPUT
2,KDA,routed_shared_reduction,2,1,1.1742,45,FRESH_PHYSICAL_TYPE_CONDITIONED,layer-02:FULL_MIXED_STRIPE:p8,PHYSICALLY_GROUNDED_MODEL_INPUT
2,KDA,router,1,1,0.6472,45,FRESH_PHYSICAL_TYPE_CONDITIONED,layer-02:FULL_MIXED_STRIPE:p8,PHYSICALLY_GROUNDED_MODEL_INPUT
2,KDA,shared_expert,8,1,0.1073,45,FRESH_PHYSICAL_TYPE_CONDITIONED,layer-02:FULL_MIXED_STRIPE:p8,PHYSICALLY_GROUNDED_MODEL_INPUT
2,KDA,shared_reduction,8,1,1.46,45,FRESH_PHYSICAL_TYPE_CONDITIONED,layer-02:FULL_MIXED_STRIPE:p8,PHYSICALLY_GROUNDED_MODEL_INPUT
2,KDA,worker_protocol,1,1,0.3813,45,FROZEN_PHYSICAL_AUTHENTICATED_FRAME,layer-02:FULL_MIXED_STRIPE:p8,PHYSICAL_INHERITED_E022
2,KDA,whole_layer,1,1,4.212,45,PHYSICAL_TYPE_CONDITIONED,layer-02:WHOLE_LAYER:p1,PHYSICALLY_GROUNDED_MODEL_INPUT
