scenario,network_stress_percent,layer,layer_type,rows,concurrency,arm,status,warmup_blocks_per_stream,measured_blocks_per_stream,measured_blocks,measured_rows,measurement_window_ms,aggregate_blocks_per_second,aggregate_rows_per_second,p50_block_latency_ms,p95_block_latency_ms,total_network_bytes,moe_network_bytes,moe_network_bytes_per_row,moe_network_messages,moe_network_messages_per_block,worker_compute_ms,compute_queue_wait_ms,network_queue_wait_ms,task_count_simulated,task_graph_replication_factor,evidence_class
COMMODITY_GOOD,10.0,89,KDA,2,32,C_SLICE_LATENT,PASS,2,8,256,512,2641.8944000000024,96.90016376127667,193.80032752255335,330.23679999999877,337.7308749999996,573898752,366542848,715904.0,10752,42.0,7183.31946666667,97419.5829146676,27131.506374331584,37120,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,89,KDA,2,32,D_FUSE_OUTPUT,PASS,2,8,256,512,1952.5375999999737,131.11143160572348,262.22286321144696,244.06719999999768,248.0578249999978,471138304,263782400,515200.0,8960,35.0,6523.044266666651,68686.63497622103,29955.35797211144,36800,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,89,KDA,2,128,A_CURRENT,PASS,2,4,512,1024,5283.788800000082,96.90016376127524,193.80032752255048,1320.9472000000226,1399.9731874999654,1443233792,1028521984,1004416.0,21504,42.0,14366.63893333182,702430.5182019098,197787.48815256,89088,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,89,KDA,2,128,B_RETAIN_HIDDEN,PASS,2,4,512,1024,5283.788800000077,96.90016376127535,193.8003275225507,1320.9471999999755,1401.7217724999641,1237712896,823001088,803712.0,21504,42.0,14366.63893333182,799654.6807459183,239615.285327595,89088,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,89,KDA,2,128,C_SLICE_LATENT,PASS,2,4,512,1024,5283.788800000077,96.90016376127535,193.8003275225507,1320.9471999999755,1401.7217724999641,1147797504,733085696,715904.0,21504,42.0,14366.63893333182,799654.6807459183,239611.15974536652,89088,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,89,KDA,2,128,D_FUSE_OUTPUT,PASS,2,4,512,1024,3905.075200000024,131.1114316057209,262.2228632114418,976.2687999999616,1052.8575199999623,942276608,527564800,515200.0,17920,35.0,13046.088533331958,575780.8279677015,295181.16685908724,88320,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,89,KDA,4,1,A_CURRENT,PASS,2,256,256,1024,6920.848583111108,36.98968369640607,147.95873478562427,27.034564777777767,27.034564777777767,1443233792,1028521984,1004416.0,10752,42.0,10675.556266666665,0.0,0.0,348,256,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,89,KDA,4,1,B_RETAIN_HIDDEN,PASS,2,256,256,1024,5874.848,43.57559548774709,174.30238195098835,22.948625,22.948625,1237712896,823001088,803712.0,10752,42.0,10675.556266666665,221.60640000000058,1085.046840888881,348,256,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,89,KDA,4,1,C_SLICE_LATENT,PASS,2,256,256,1024,5863.430172444445,43.6604500217446,174.6418000869784,22.904024111111113,22.904024111111113,1147797504,733085696,715904.0,10752,42.0,10675.556266666665,221.60640000000058,1085.046840888881,348,256,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,89,KDA,4,1,D_FUSE_OUTPUT,PASS,2,256,256,1024,5561.990172444446,46.026690458442545,184.10676183377018,21.726524111111118,21.726524111111118,942276608,527564800,515200.0,8960,35.0,10005.885866666664,221.60640000000058,1085.046840888881,345,256,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,89,KDA,4,8,A_CURRENT,PASS,2,32,256,1024,3270.4675602222724,78.27626945873186,313.10507783492744,102.03279999999904,103.01697500000047,1443233792,1028521984,1004416.0,10752,42.0,10675.556266666974,23647.16756733359,2217.6973433330604,31552,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,89,KDA,4,8,B_RETAIN_HIDDEN,PASS,2,32,256,1024,3268.8491602222725,78.3150238668684,313.2600954674736,102.03280000000427,103.23429999999905,1237712896,823001088,803712.0,10752,42.0,10675.556266666974,29824.110318222807,2090.0808451108983,31552,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,89,KDA,4,8,C_SLICE_LATENT,PASS,2,32,256,1024,3268.8491602222725,78.3150238668684,313.2600954674736,102.03280000000427,103.23429999999905,1147797504,733085696,715904.0,10752,42.0,10675.556266666974,29829.28402133389,2079.5630121109516,31552,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,89,KDA,4,8,D_FUSE_OUTPUT,PASS,2,32,256,1024,2571.605960222226,99.54868823599932,398.1947529439973,80.19680000000017,82.43768749999964,942276608,527564800,515200.0,8960,35.0,10005.885866666802,21747.280262000026,1921.0426385555209,31280,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,89,KDA,4,32,A_CURRENT,PASS,2,8,256,1024,3267.6127602223073,78.34465672198667,313.37862688794667,408.131200000018,423.3911249999962,1443233792,1028521984,1004416.0,10752,42.0,10675.556266666974,111340.1282927779,7137.72329188872,37120,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,89,KDA,4,32,B_RETAIN_HIDDEN,PASS,2,8,256,1024,3265.0496000000794,78.40615958789532,313.62463835158127,408.131200000018,428.12069999999727,1237712896,823001088,803712.0,10752,42.0,10675.556266666974,132521.0178375558,9203.916324444508,37120,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,89,KDA,4,32,C_SLICE_LATENT,PASS,2,8,256,1024,3265.0496000000794,78.40615958789532,313.62463835158127,408.131200000018,428.12069999999727,1147797504,733085696,715904.0,10752,42.0,10675.556266666974,132522.1774606669,9193.658120000146,37120,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,89,KDA,4,32,D_FUSE_OUTPUT,PASS,2,8,256,1024,2566.297600000013,99.75460367495909,399.01841469983634,320.78720000000135,320.81035000000406,942276608,527564800,515200.0,8960,35.0,10005.885866666802,103523.25462277715,6889.204880222384,36800,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,89,KDA,4,128,A_CURRENT,PASS,2,4,512,2048,6530.099199999979,78.40615958789748,313.6246383515899,1630.5282500000958,1753.0767524999771,2886467584,2057043968,1004416.0,21504,42.0,21351.112533334857,966800.61810365,89688.43597576529,89088,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,89,KDA,4,128,B_RETAIN_HIDDEN,PASS,2,4,512,2048,6530.099200000015,78.40615958789704,313.62463835158815,1630.1416750001417,1762.8906575000096,2475425792,1646002176,803712.0,21504,42.0,21351.112533334857,1145447.2129091013,139220.905694658,89088,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,89,KDA,4,128,C_SLICE_LATENT,PASS,2,4,512,2048,6530.099200000015,78.40615958789704,313.62463835158815,1630.1416750001417,1762.8906575000096,2295595008,1466171392,715904.0,21504,42.0,21351.112533334857,1145454.4158633228,139160.10040954675,89088,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,89,KDA,4,128,D_FUSE_OUTPUT,PASS,2,4,512,2048,5132.595199999907,99.75460367496142,399.01841469984566,1283.14879999994,1367.1944775000327,1884553216,1055129600,515200.0,17920,35.0,20011.771733335136,920858.0577218626,94011.79548065284,88320,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,91,GATED_MLA,1,1,A_CURRENT,PASS,2,256,256,256,5322.554026666672,48.09721023354718,48.09721023354718,20.791226666666688,20.791226666666688,375029760,257130496,1004416.0,10752,42.0,5518.506666666667,0.0,0.0,348,256,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,91,GATED_MLA,1,1,B_RETAIN_HIDDEN,PASS,2,256,256,256,4408.212280888893,58.073428339612306,58.073428339612306,17.219579222222237,17.219579222222237,323649536,205750272,803712.0,10752,42.0,5518.506666666667,191.52640000000065,959.9497102222267,348,256,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,91,GATED_MLA,1,1,C_SLICE_LATENT,PASS,2,256,256,256,4405.357824000004,58.11105708719831,58.11105708719831,17.208429000000017,17.208429000000017,301170688,183271424,715904.0,10752,42.0,5518.506666666667,191.52640000000065,959.9497102222267,348,256,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,91,GATED_MLA,1,1,D_FUSE_OUTPUT,PASS,2,256,256,256,4110.970624000005,62.27239827632484,62.27239827632484,16.05847900000002,16.05847900000002,249790464,131891200,515200.0,8960,35.0,4876.0192,191.52640000000065,959.9497102222267,345,256,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,91,GATED_MLA,1,8,A_CURRENT,PASS,2,32,256,256,2432.31918177775,105.24934470684597,105.24934470684597,75.95959999999832,75.95960000000105,375029760,257130496,1004416.0,10752,42.0,5518.506666666761,16639.19885133289,2680.3123562224473,31552,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,91,GATED_MLA,1,8,B_RETAIN_HIDDEN,PASS,2,32,256,256,2432.3191817777492,105.24934470684602,105.24934470684602,75.95959999999832,77.49348750000104,323649536,205750272,803712.0,10752,42.0,5518.506666666761,19878.75082599979,4603.9409204445865,31552,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
