edge_class,rtt_ms,bandwidth_gbps,measured_loopback_and_serialization_base_ms,one_way_propagation_ms,wire_transfer_ms,edge_service_ms,stage_bottleneck_ms,pipeline_service_ms,capacity_retention_percent,network_hidden_by_pipeline_ms,network_exposed_to_pipeline_ms,two_stage_sequential_latency_ms,useful_90_percent
kimi_coarse_stage_fp32_v1,1.0,0.25,0.6102000000000003,0.5,8.265056,9.375256,3.026927947998047,9.375256,32.28634981272028,3.026927947998047,6.348328052001953,14.56903201146698,False
kimi_coarse_stage_fp32_v1,1.0,0.5,0.6102000000000003,0.5,4.132528,5.242728,3.026927947998047,5.242728,57.73574268964644,3.026927947998047,2.2158000520019527,10.43650401146698,False
kimi_coarse_stage_fp32_v1,1.0,1.0,0.6102000000000003,0.5,2.066264,3.176464,3.026927947998047,3.176464,95.29237378412117,3.026927947998047,0.1495360520019533,8.37024001146698,True
kimi_coarse_stage_fp32_v1,1.0,2.5,0.6102000000000003,0.5,0.8265056,1.9367056000000002,3.026927947998047,3.026927947998047,100.0,1.9367056000000002,0.0,7.13048161146698,True
kimi_coarse_stage_fp32_v1,1.0,5.0,0.6102000000000003,0.5,0.4132528,1.5234528000000003,3.026927947998047,3.026927947998047,100.0,1.5234528000000003,0.0,6.71722881146698,True
kimi_coarse_stage_fp32_v1,1.0,10.0,0.6102000000000003,0.5,0.2066264,1.3168264000000003,3.026927947998047,3.026927947998047,100.0,1.3168264000000003,0.0,6.51060241146698,True
kimi_coarse_stage_fp32_v1,1.0,25.0,0.6102000000000003,0.5,0.08265056,1.1928505600000003,3.026927947998047,3.026927947998047,100.0,1.1928505600000003,0.0,6.38662657146698,True
kimi_coarse_stage_fp32_v1,1.0,100.0,0.6102000000000003,0.5,0.02066264,1.1308626400000004,3.026927947998047,3.026927947998047,100.0,1.1308626400000004,0.0,6.32463865146698,True
kimi_coarse_stage_fp32_v1,2.0,0.1,0.6102000000000003,1.0,20.66264,22.27284,3.026927947998047,22.27284,13.590219962959582,3.026927947998047,19.24591205200195,27.46661601146698,False
kimi_coarse_stage_fp32_v1,2.0,0.25,0.6102000000000003,1.0,8.265056,9.875256,3.026927947998047,9.875256,30.651640301760754,3.026927947998047,6.848328052001953,15.06903201146698,False
