edge_class,rtt_ms,bandwidth_gbps,measured_loopback_and_serialization_base_ms,one_way_propagation_ms,wire_transfer_ms,edge_service_ms,stage_bottleneck_ms,pipeline_service_ms,capacity_retention_percent,network_hidden_by_pipeline_ms,network_exposed_to_pipeline_ms,two_stage_sequential_latency_ms,useful_90_percent
kimi_coarse_stage_fp32_v1,0.25,1.0,0.40975000000000006,0.125,2.066264,2.601014,3.081055998802185,3.081055998802185,100.0,2.601014,0.0,7.849269968093872,True
kimi_coarse_stage_fp32_v1,0.25,2.5,0.40975000000000006,0.125,0.8265056,1.3612556,3.081055998802185,3.081055998802185,100.0,1.3612556,0.0,6.609511568093872,True
kimi_coarse_stage_fp32_v1,0.25,5.0,0.40975000000000006,0.125,0.4132528,0.9480028,3.081055998802185,3.081055998802185,100.0,0.9480028,0.0,6.196258768093872,True
kimi_coarse_stage_fp32_v1,0.25,10.0,0.40975000000000006,0.125,0.2066264,0.7413764,3.081055998802185,3.081055998802185,100.0,0.7413764,0.0,5.989632368093872,True
kimi_coarse_stage_fp32_v1,0.25,25.0,0.40975000000000006,0.125,0.08265056,0.6174005600000001,3.081055998802185,3.081055998802185,100.0,0.6174005600000001,0.0,5.865656528093872,True
kimi_coarse_stage_fp32_v1,0.25,100.0,0.40975000000000006,0.125,0.02066264,0.55541264,3.081055998802185,3.081055998802185,100.0,0.55541264,0.0,5.803668608093872,True
kimi_coarse_stage_fp32_v1,0.5,0.1,0.40975000000000006,0.25,20.66264,21.32239,3.081055998802185,21.32239,14.449862322198333,3.081055998802185,18.241334001197814,26.57064596809387,False
kimi_coarse_stage_fp32_v1,0.5,0.25,0.40975000000000006,0.25,8.265056,8.924806,3.081055998802185,8.924806,34.52238624349017,3.081055998802185,5.843750001197815,14.173061968093872,False
kimi_coarse_stage_fp32_v1,0.5,0.5,0.40975000000000006,0.25,4.132528,4.792278,3.081055998802185,4.792278,64.29209655204029,3.081055998802185,1.7112220011978145,10.040533968093872,False
kimi_coarse_stage_fp32_v1,0.5,1.0,0.40975000000000006,0.25,2.066264,2.726014,3.081055998802185,3.081055998802185,100.0,2.726014,0.0,7.974269968093872,True
kimi_coarse_stage_fp32_v1,0.5,2.5,0.40975000000000006,0.25,0.8265056,1.4862556,3.081055998802185,3.081055998802185,100.0,1.4862556,0.0,6.734511568093872,True
kimi_coarse_stage_fp32_v1,0.5,5.0,0.40975000000000006,0.25,0.4132528,1.0730028,3.081055998802185,3.081055998802185,100.0,1.0730028,0.0,6.321258768093872,True
kimi_coarse_stage_fp32_v1,0.5,10.0,0.40975000000000006,0.25,0.2066264,0.8663764,3.081055998802185,3.081055998802185,100.0,0.8663764,0.0,6.114632368093872,True
kimi_coarse_stage_fp32_v1,0.5,25.0,0.40975000000000006,0.25,0.08265056,0.7424005600000001,3.081055998802185,3.081055998802185,100.0,0.7424005600000001,0.0,5.990656528093872,True
kimi_coarse_stage_fp32_v1,0.5,100.0,0.40975000000000006,0.25,0.02066264,0.68041264,3.081055998802185,3.081055998802185,100.0,0.68041264,0.0,5.928668608093872,True
kimi_coarse_stage_fp32_v1,1.0,0.1,0.40975000000000006,0.5,20.66264,21.57239,3.081055998802185,21.57239,14.282404493902554,3.081055998802185,18.491334001197814,26.82064596809387,False
