layer,layer_type,group_index,rows,sample_index,cuda_ms,input_copy_ms,output_copy_ms,outer_elapsed_ms,checkpoint_reads_in_timed_region,finite
89,KDA,0,1,44,0.9100160002708435,0.045,0.0496,1.0805,0,True
89,KDA,0,1,45,0.9087039828300476,0.1444,0.0449,1.1974,0,True
89,KDA,0,1,46,0.9040960073471069,0.022,0.0331,1.0252,0,True
89,KDA,0,1,47,0.904416024684906,0.0182,0.0312,1.0086,0,True
89,KDA,0,1,48,0.9056959748268127,0.0171,0.0281,1.0073,0,True
89,KDA,0,1,49,0.9074879884719849,0.0176,0.0366,1.0425,0,True
89,KDA,0,1,50,0.9051520228385925,0.0198,0.0309,1.015,0,True
89,KDA,0,1,51,0.9040960073471069,0.037,0.0528,1.0764,0,True
89,KDA,0,1,52,0.9037439823150635,0.0259,0.0299,1.0352,0,True
89,KDA,0,1,53,0.9031999707221985,0.0174,0.0298,0.9967,0,True
89,KDA,0,1,54,0.9049919843673706,0.0165,0.0278,1.0002,0,True
89,KDA,0,1,55,0.8934720158576965,0.0165,0.0283,0.9841,0,True
89,KDA,0,1,56,0.9279680252075195,0.0188,0.0954,1.1506,0,True
89,KDA,0,1,57,1.4023360013961792,0.055,0.0514,1.6271,0,True
89,KDA,0,1,58,0.9091519713401794,0.0214,0.0685,1.0986,0,True
89,KDA,0,1,59,0.9184319972991943,0.0247,0.0279,1.0353,0,True
89,KDA,0,1,60,0.9097599983215332,0.0135,0.0286,0.9977,0,True
89,KDA,0,1,61,0.9062079787254333,0.018,0.0306,1.0033,0,True
89,KDA,0,1,62,0.8963519930839539,0.018,0.0407,1.0247,0,True
89,KDA,0,1,63,0.9094079732894897,0.2281,0.0748,1.3313,0,True
89,KDA,0,1,64,0.9159680008888245,0.0278,0.0295,1.0536,0,True
89,KDA,0,1,65,0.9065920114517212,0.0187,0.0291,1.001,0,True
89,KDA,0,1,66,0.9042559862136841,0.0173,0.0296,0.9945,0,True
89,KDA,0,1,67,0.9065279960632324,0.0176,0.0298,0.9955,0,True
89,KDA,0,1,68,0.9065600037574768,0.0172,0.0292,0.9925,0,True
89,KDA,0,1,69,0.9062399864196777,0.0173,0.0293,0.9939,0,True
89,KDA,0,1,70,0.9111999869346619,0.0171,0.03,1.0265,0,True
89,KDA,0,1,71,0.9099839925765991,0.0176,0.0281,0.9967,0,True
89,KDA,0,1,72,1.2788480520248413,0.0127,0.1378,1.5589,0,True
89,KDA,0,1,73,0.9164800047874451,0.0677,0.0266,1.09,0,True
89,KDA,0,1,74,0.9064000248908997,0.0199,0.058,1.0684,0,True
89,KDA,0,1,75,0.9010559916496277,0.1566,0.0297,1.1544,0,True
89,KDA,0,1,76,0.9046080112457275,0.0166,0.0297,0.9926,0,True
89,KDA,0,1,77,0.8957759737968445,0.0176,0.0279,0.9811,0,True
89,KDA,0,1,78,0.8938559889793396,0.0157,0.0311,0.9767,0,True
89,KDA,0,1,79,0.9062719941139221,0.0133,0.029,0.9897,0,True
89,KDA,0,1,80,0.9056320190429688,0.0154,0.0293,0.9849,0,True
89,KDA,0,1,81,0.9062719941139221,0.0161,0.0306,0.9921,0,True
89,KDA,0,1,82,0.9045439958572388,0.0166,0.0281,0.9892,0,True
89,KDA,0,1,83,0.9070079922676086,0.0157,0.0296,0.9901,0,True
89,KDA,0,1,84,0.9071999788284302,0.0151,0.0295,0.9898,0,True
89,KDA,0,1,85,0.9072960019111633,0.0158,0.0295,0.9913,0,True
89,KDA,0,1,86,0.9072319865226746,0.0178,0.0277,0.9924,0,True
89,KDA,0,1,87,0.9053120017051697,0.0174,0.0606,1.0567,0,True
89,KDA,0,1,88,1.3285759687423706,0.0255,0.0533,1.5031,0,True
89,KDA,0,1,89,0.9088000059127808,0.1338,0.0301,1.1288,0,True
89,KDA,0,1,90,0.9063360095024109,0.018,0.0294,0.994,0,True
89,KDA,0,1,91,0.9054399728775024,0.0174,0.0287,0.9928,0,True
89,KDA,0,1,92,0.9101439714431763,0.0186,0.0296,1.0012,0,True
89,KDA,0,1,93,0.8940479755401611,0.017,0.0294,0.9842,0,True
89,KDA,0,1,94,0.9069439768791199,0.0175,0.0288,0.9961,0,True
89,KDA,0,1,95,0.9099839925765991,0.0173,0.0287,1.0012,0,True
89,KDA,0,1,96,0.9355840086936951,0.0186,0.0277,1.0246,0,True
89,KDA,0,1,97,0.9082880020141602,0.0191,0.0278,1.0026,0,True
89,KDA,0,1,98,0.9094079732894897,0.0188,0.029,1.0031,0,True
89,KDA,0,1,99,0.9049599766731262,0.0168,0.0292,0.9911,0,True
89,KDA,0,1,100,0.9086400270462036,0.0171,0.03,0.9926,0,True
89,KDA,0,1,101,0.9047039747238159,0.014,0.0289,0.986,0,True
89,KDA,0,1,102,0.9042239785194397,0.0155,0.0291,0.9915,0,True
89,KDA,0,1,103,0.907584011554718,0.0166,0.0808,1.1063,0,True
89,KDA,0,1,104,1.3452160358428955,0.0399,0.0655,1.5868,0,True
89,KDA,0,1,105,0.9100160002708435,0.026,0.0338,1.0466,0,True
89,KDA,0,1,106,0.9108480215072632,0.0175,0.0377,1.0311,0,True
89,KDA,0,1,107,0.9000959992408752,0.0195,0.0526,1.0311,0,True
