split,candidate_id,candidate_type,degree,layer,layer_type,rows,sample_index,wall_ms,device_ms,finite_output,production_native_dispatch,timed_checkpoint_reads,resident_weights,resident_memory_bytes
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,2,5,5.8194,5.43939208984375,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,2,6,5.6584,5.315936088562012,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,2,7,5.869,5.531680107116699,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,2,8,5.7898,5.456960201263428,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,2,9,5.7061,5.380928039550781,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,2,10,5.8633,5.543712139129639,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,2,11,5.8167,5.4404802322387695,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,2,12,5.6701,5.327744007110596,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,2,13,5.9131,5.56879997253418,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,2,14,5.9294,5.536223888397217,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,2,15,5.8176,5.388991832733154,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,2,16,5.9169,5.568352222442627,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,2,17,5.7748,5.4319682121276855,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,2,18,5.7021,5.322080135345459,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,2,19,5.8776,5.525568008422852,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,2,20,5.7445,5.414400100708008,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,2,21,5.6806,5.32044792175293,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,2,22,5.8472,5.501120090484619,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,2,23,5.7179,5.382080078125,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,2,24,5.6749,5.3342719078063965,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,2,25,5.87,5.491680145263672,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,2,26,5.7397,5.4088640213012695,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,2,27,5.7371,5.379136085510254,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,2,28,5.8705,5.523583889007568,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,2,29,5.7693,5.445119857788086,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,2,30,5.6468,5.330912113189697,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,2,31,5.7829,5.46073579788208,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,2,32,5.8343,5.424511909484863,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,2,33,5.7786,5.374144077301025,True,True,0,True,18285068288
