operation,rows,sample_index,wall_ms,device_ms,finite_output,production_native_dispatch,timed_checkpoint_reads
worker_local_routed_first_shared_second_fusion,1,116,0.0109,0.014175999909639359,True,True,0
worker_local_routed_first_shared_second_fusion,1,117,0.0106,0.013952000066637993,True,True,0
worker_local_routed_first_shared_second_fusion,1,118,0.0096,0.012671999633312225,True,True,0
worker_local_routed_first_shared_second_fusion,1,119,0.0301,0.03359999880194664,True,True,0
worker_local_routed_first_shared_second_fusion,1,120,0.0102,0.014368000440299511,True,True,0
worker_local_routed_first_shared_second_fusion,1,121,0.0098,0.01408000010997057,True,True,0
worker_local_routed_first_shared_second_fusion,1,122,0.0096,0.01375999953597784,True,True,0
worker_local_routed_first_shared_second_fusion,1,123,0.0093,0.013663999736309052,True,True,0
worker_local_routed_first_shared_second_fusion,1,124,0.0106,0.014495999552309513,True,True,0
worker_local_routed_first_shared_second_fusion,1,125,0.01,0.01375999953597784,True,True,0
worker_local_routed_first_shared_second_fusion,1,126,0.0092,0.012799999676644802,True,True,0
worker_local_routed_first_shared_second_fusion,1,127,0.0092,0.012543999589979649,True,True,0
worker_local_routed_first_shared_second_fusion,1,128,0.0094,0.01369599997997284,True,True,0
worker_local_routed_first_shared_second_fusion,1,129,0.0101,0.012896000407636166,True,True,0
worker_local_routed_first_shared_second_fusion,1,130,0.0097,0.012768000364303589,True,True,0
worker_local_routed_first_shared_second_fusion,1,131,0.0089,0.01196799986064434,True,True,0
worker_local_routed_first_shared_second_fusion,1,132,0.0425,0.04585599899291992,True,True,0
worker_local_routed_first_shared_second_fusion,1,133,0.0095,0.012703999876976013,True,True,0
worker_local_routed_first_shared_second_fusion,1,134,0.0094,0.031936001032590866,True,True,0
worker_local_routed_first_shared_second_fusion,1,135,0.0096,0.01283199992030859,True,True,0
worker_local_routed_first_shared_second_fusion,1,136,0.01,0.011935999616980553,True,True,0
worker_local_routed_first_shared_second_fusion,1,137,0.0089,0.027615999802947044,True,True,0
worker_local_routed_first_shared_second_fusion,1,138,0.0125,0.015200000256299973,True,True,0
worker_local_routed_first_shared_second_fusion,1,139,0.0093,0.01228800043463707,True,True,0
worker_local_routed_first_shared_second_fusion,1,140,0.0099,0.012512000277638435,True,True,0
worker_local_routed_first_shared_second_fusion,1,141,0.0098,0.039744000881910324,True,True,0
worker_local_routed_first_shared_second_fusion,1,142,0.01,0.013088000006973743,True,True,0
worker_local_routed_first_shared_second_fusion,1,143,0.0102,0.012959999963641167,True,True,0
worker_local_routed_first_shared_second_fusion,1,144,0.0092,0.01142400037497282,True,True,0
worker_local_routed_first_shared_second_fusion,1,145,0.0095,0.012384000234305859,True,True,0
worker_local_routed_first_shared_second_fusion,1,146,0.0095,0.012319999746978283,True,True,0
worker_local_routed_first_shared_second_fusion,1,147,0.0094,0.012095999903976917,True,True,0
worker_local_routed_first_shared_second_fusion,1,148,0.0094,0.012160000391304493,True,True,0
worker_local_routed_first_shared_second_fusion,1,149,0.0095,0.012480000033974648,True,True,0
worker_local_routed_first_shared_second_fusion,1,150,0.0095,0.011935999616980553,True,True,0
worker_local_routed_first_shared_second_fusion,1,151,0.0092,0.011711999773979187,True,True,0
worker_local_routed_first_shared_second_fusion,1,152,0.0089,0.011136000044643879,True,True,0
worker_local_routed_first_shared_second_fusion,1,153,0.0102,0.013279999606311321,True,True,0
worker_local_routed_first_shared_second_fusion,1,154,0.0106,0.01408000010997057,True,True,0
worker_local_routed_first_shared_second_fusion,1,155,0.0105,0.013535999692976475,True,True,0
worker_local_routed_first_shared_second_fusion,1,156,0.0301,0.033440001308918,True,True,0
worker_local_routed_first_shared_second_fusion,1,157,0.0094,0.03519999980926514,True,True,0
worker_local_routed_first_shared_second_fusion,1,158,0.0095,0.012032000347971916,True,True,0
worker_local_routed_first_shared_second_fusion,1,159,0.0094,0.011680000461637974,True,True,0
worker_local_routed_first_shared_second_fusion,1,160,0.0096,0.011807999573647976,True,True,0
worker_local_routed_first_shared_second_fusion,1,161,0.0092,0.011359999887645245,True,True,0
worker_local_routed_first_shared_second_fusion,1,162,0.0097,0.012415999546647072,True,True,0
worker_local_routed_first_shared_second_fusion,1,163,0.0094,0.012160000391304493,True,True,0
worker_local_routed_first_shared_second_fusion,1,164,0.0093,0.011839999817311764,True,True,0
worker_local_routed_first_shared_second_fusion,1,165,0.0094,0.011807999573647976,True,True,0
worker_local_routed_first_shared_second_fusion,1,166,0.0098,0.01206399966031313,True,True,0
worker_local_routed_first_shared_second_fusion,1,167,0.0092,0.012032000347971916,True,True,0
worker_local_routed_first_shared_second_fusion,1,168,0.0087,0.010847999714314938,True,True,0
worker_local_routed_first_shared_second_fusion,1,169,0.0095,0.011680000461637974,True,True,0
worker_local_routed_first_shared_second_fusion,1,170,0.0303,0.033535998314619064,True,True,0
worker_local_routed_first_shared_second_fusion,1,171,0.0106,0.01369599997997284,True,True,0
worker_local_routed_first_shared_second_fusion,1,172,0.0096,0.01244799979031086,True,True,0
worker_local_routed_first_shared_second_fusion,1,173,0.0091,0.012191999703645706,True,True,0
worker_local_routed_first_shared_second_fusion,1,174,0.0095,0.012543999589979649,True,True,0
worker_local_routed_first_shared_second_fusion,1,175,0.0383,0.04188799858093262,True,True,0
worker_local_routed_first_shared_second_fusion,1,176,0.0103,0.014399999752640724,True,True,0
worker_local_routed_first_shared_second_fusion,1,177,0.01,0.012959999963641167,True,True,0
worker_local_routed_first_shared_second_fusion,1,178,0.0098,0.012896000407636166,True,True,0
worker_local_routed_first_shared_second_fusion,1,179,0.01,0.012992000207304955,True,True,0
worker_local_routed_first_shared_second_fusion,1,180,0.0372,0.046879999339580536,True,True,0
worker_local_routed_first_shared_second_fusion,1,181,0.015,0.018751999363303185,True,True,0
worker_local_routed_first_shared_second_fusion,1,182,0.0119,0.013791999779641628,True,True,0
worker_local_routed_first_shared_second_fusion,1,183,0.0109,0.014240000396966934,True,True,0
worker_local_routed_first_shared_second_fusion,1,184,0.0096,0.01283199992030859,True,True,0
worker_local_routed_first_shared_second_fusion,1,185,0.0094,0.012384000234305859,True,True,0
worker_local_routed_first_shared_second_fusion,1,186,0.0107,0.013791999779641628,True,True,0
worker_local_routed_first_shared_second_fusion,1,187,0.0095,0.012256000190973282,True,True,0
worker_local_routed_first_shared_second_fusion,1,188,0.0346,0.03766399994492531,True,True,0
worker_local_routed_first_shared_second_fusion,1,189,0.0094,0.013248000293970108,True,True,0
worker_local_routed_first_shared_second_fusion,1,190,0.0099,0.013248000293970108,True,True,0
worker_local_routed_first_shared_second_fusion,1,191,0.0096,0.013344000093638897,True,True,0
worker_local_routed_first_shared_second_fusion,1,192,0.0091,0.011935999616980553,True,True,0
worker_local_routed_first_shared_second_fusion,1,193,0.01,0.012799999676644802,True,True,0
worker_local_routed_first_shared_second_fusion,1,194,0.0098,0.013088000006973743,True,True,0
worker_local_routed_first_shared_second_fusion,1,195,0.0363,0.03993599861860275,True,True,0
worker_local_routed_first_shared_second_fusion,1,196,0.0094,0.03001599945127964,True,True,0
worker_local_routed_first_shared_second_fusion,1,197,0.0092,0.012319999746978283,True,True,0
worker_local_routed_first_shared_second_fusion,1,198,0.0091,0.01228800043463707,True,True,0
worker_local_routed_first_shared_second_fusion,1,199,0.0093,0.012160000391304493,True,True,0
worker_local_routed_first_shared_second_fusion,2,0,0.0095,0.01228800043463707,True,True,0
worker_local_routed_first_shared_second_fusion,2,1,0.0101,0.013248000293970108,True,True,0
worker_local_routed_first_shared_second_fusion,2,2,0.009,0.011327999643981457,True,True,0
worker_local_routed_first_shared_second_fusion,2,3,0.0095,0.012191999703645706,True,True,0
worker_local_routed_first_shared_second_fusion,2,4,0.0104,0.013151999562978745,True,True,0
worker_local_routed_first_shared_second_fusion,2,5,0.0303,0.034272000193595886,True,True,0
worker_local_routed_first_shared_second_fusion,2,6,0.0108,0.013856000266969204,True,True,0
worker_local_routed_first_shared_second_fusion,2,7,0.0094,0.012992000207304955,True,True,0
worker_local_routed_first_shared_second_fusion,2,8,0.0093,0.013472000136971474,True,True,0
worker_local_routed_first_shared_second_fusion,2,9,0.0097,0.012671999633312225,True,True,0
worker_local_routed_first_shared_second_fusion,2,10,0.0096,0.012927999719977379,True,True,0
worker_local_routed_first_shared_second_fusion,2,11,0.0094,0.012959999963641167,True,True,0
worker_local_routed_first_shared_second_fusion,2,12,0.0093,0.012671999633312225,True,True,0
worker_local_routed_first_shared_second_fusion,2,13,0.0095,0.012992000207304955,True,True,0
worker_local_routed_first_shared_second_fusion,2,14,0.0092,0.012864000163972378,True,True,0
worker_local_routed_first_shared_second_fusion,2,15,0.009,0.011711999773979187,True,True,0
worker_local_routed_first_shared_second_fusion,2,16,0.0097,0.012608000077307224,True,True,0
worker_local_routed_first_shared_second_fusion,2,17,0.0098,0.012768000364303589,True,True,0
worker_local_routed_first_shared_second_fusion,2,18,0.0365,0.03993599861860275,True,True,0
worker_local_routed_first_shared_second_fusion,2,19,0.0095,0.035711999982595444,True,True,0
worker_local_routed_first_shared_second_fusion,2,20,0.0101,0.012480000033974648,True,True,0
worker_local_routed_first_shared_second_fusion,2,21,0.0094,0.012223999947309494,True,True,0
worker_local_routed_first_shared_second_fusion,2,22,0.0092,0.012160000391304493,True,True,0
worker_local_routed_first_shared_second_fusion,2,23,0.0092,0.011552000418305397,True,True,0
worker_local_routed_first_shared_second_fusion,2,24,0.0135,0.03654399886727333,True,True,0
worker_local_routed_first_shared_second_fusion,2,25,0.0091,0.011839999817311764,True,True,0
worker_local_routed_first_shared_second_fusion,2,26,0.0097,0.011935999616980553,True,True,0
worker_local_routed_first_shared_second_fusion,2,27,0.0092,0.011136000044643879,True,True,0
worker_local_routed_first_shared_second_fusion,2,28,0.0096,0.011807999573647976,True,True,0
worker_local_routed_first_shared_second_fusion,2,29,0.0093,0.010784000158309937,True,True,0
worker_local_routed_first_shared_second_fusion,2,30,0.0336,0.036768000572919846,True,True,0
worker_local_routed_first_shared_second_fusion,2,31,0.0096,0.013120000250637531,True,True,0
worker_local_routed_first_shared_second_fusion,2,32,0.0094,0.013567999936640263,True,True,0
worker_local_routed_first_shared_second_fusion,2,33,0.0105,0.013055999763309956,True,True,0
worker_local_routed_first_shared_second_fusion,2,34,0.0098,0.01283199992030859,True,True,0
worker_local_routed_first_shared_second_fusion,2,35,0.0097,0.012703999876976013,True,True,0
worker_local_routed_first_shared_second_fusion,2,36,0.0385,0.042047999799251556,True,True,0
worker_local_routed_first_shared_second_fusion,2,37,0.011,0.014208000153303146,True,True,0
worker_local_routed_first_shared_second_fusion,2,38,0.0104,0.013183999806642532,True,True,0
worker_local_routed_first_shared_second_fusion,2,39,0.0096,0.012799999676644802,True,True,0
worker_local_routed_first_shared_second_fusion,2,40,0.0096,0.012543999589979649,True,True,0
worker_local_routed_first_shared_second_fusion,2,41,0.0106,0.013376000337302685,True,True,0
worker_local_routed_first_shared_second_fusion,2,42,0.0295,0.03251200169324875,True,True,0
worker_local_routed_first_shared_second_fusion,2,43,0.0096,0.0352960005402565,True,True,0
worker_local_routed_first_shared_second_fusion,2,44,0.0093,0.012256000190973282,True,True,0
worker_local_routed_first_shared_second_fusion,2,45,0.0094,0.01228800043463707,True,True,0
worker_local_routed_first_shared_second_fusion,2,46,0.0091,0.011776000261306763,True,True,0
worker_local_routed_first_shared_second_fusion,2,47,0.0095,0.01500799972563982,True,True,0
worker_local_routed_first_shared_second_fusion,2,48,0.01,0.013088000006973743,True,True,0
worker_local_routed_first_shared_second_fusion,2,49,0.0094,0.012191999703645706,True,True,0
worker_local_routed_first_shared_second_fusion,2,50,0.0095,0.01158399973064661,True,True,0
worker_local_routed_first_shared_second_fusion,2,51,0.0097,0.012512000277638435,True,True,0
worker_local_routed_first_shared_second_fusion,2,52,0.0096,0.01228800043463707,True,True,0
worker_local_routed_first_shared_second_fusion,2,53,0.009,0.012128000147640705,True,True,0
worker_local_routed_first_shared_second_fusion,2,54,0.0094,0.012128000147640705,True,True,0
worker_local_routed_first_shared_second_fusion,2,55,0.0092,0.011872000060975552,True,True,0
worker_local_routed_first_shared_second_fusion,2,56,0.0091,0.011168000288307667,True,True,0
worker_local_routed_first_shared_second_fusion,2,57,0.0097,0.012768000364303589,True,True,0
worker_local_routed_first_shared_second_fusion,2,58,0.0092,0.012256000190973282,True,True,0
worker_local_routed_first_shared_second_fusion,2,59,0.0092,0.012191999703645706,True,True,0
worker_local_routed_first_shared_second_fusion,2,60,0.009,0.01152000017464161,True,True,0
worker_local_routed_first_shared_second_fusion,2,61,0.0092,0.01190400030463934,True,True,0
worker_local_routed_first_shared_second_fusion,2,62,0.0089,0.011552000418305397,True,True,0
worker_local_routed_first_shared_second_fusion,2,63,0.0092,0.011231999844312668,True,True,0
worker_local_routed_first_shared_second_fusion,2,64,0.0095,0.012319999746978283,True,True,0
worker_local_routed_first_shared_second_fusion,2,65,0.0092,0.012223999947309494,True,True,0
worker_local_routed_first_shared_second_fusion,2,66,0.0095,0.01190400030463934,True,True,0
worker_local_routed_first_shared_second_fusion,2,67,0.0096,0.012191999703645706,True,True,0
worker_local_routed_first_shared_second_fusion,2,68,0.0099,0.011392000131309032,True,True,0
worker_local_routed_first_shared_second_fusion,2,69,0.0296,0.032575998455286026,True,True,0
worker_local_routed_first_shared_second_fusion,2,70,0.0106,0.014399999752640724,True,True,0
worker_local_routed_first_shared_second_fusion,2,71,0.0098,0.012959999963641167,True,True,0
worker_local_routed_first_shared_second_fusion,2,72,0.0096,0.012896000407636166,True,True,0
worker_local_routed_first_shared_second_fusion,2,73,0.0094,0.013183999806642532,True,True,0
worker_local_routed_first_shared_second_fusion,2,74,0.0092,0.012191999703645706,True,True,0
worker_local_routed_first_shared_second_fusion,2,75,0.0096,0.01244799979031086,True,True,0
worker_local_routed_first_shared_second_fusion,2,76,0.009,0.012032000347971916,True,True,0
worker_local_routed_first_shared_second_fusion,2,77,0.039,0.042688000947237015,True,True,0
worker_local_routed_first_shared_second_fusion,2,78,0.01,0.013504000380635262,True,True,0
worker_local_routed_first_shared_second_fusion,2,79,0.0094,0.013439999893307686,True,True,0
worker_local_routed_first_shared_second_fusion,2,80,0.0087,0.027615999802947044,True,True,0
worker_local_routed_first_shared_second_fusion,2,81,0.0092,0.012095999903976917,True,True,0
worker_local_routed_first_shared_second_fusion,2,82,0.0092,0.011327999643981457,True,True,0
worker_local_routed_first_shared_second_fusion,2,83,0.0306,0.03372799977660179,True,True,0
worker_local_routed_first_shared_second_fusion,2,84,0.0097,0.0342399999499321,True,True,0
worker_local_routed_first_shared_second_fusion,2,85,0.0129,0.019999999552965164,True,True,0
worker_local_routed_first_shared_second_fusion,2,86,0.0099,0.012736000120639801,True,True,0
worker_local_routed_first_shared_second_fusion,2,87,0.0094,0.012191999703645706,True,True,0
worker_local_routed_first_shared_second_fusion,2,88,0.0096,0.012160000391304493,True,True,0
worker_local_routed_first_shared_second_fusion,2,89,0.0096,0.011711999773979187,True,True,0
worker_local_routed_first_shared_second_fusion,2,90,0.0097,0.01206399966031313,True,True,0
worker_local_routed_first_shared_second_fusion,2,91,0.009,0.011455999687314034,True,True,0
worker_local_routed_first_shared_second_fusion,2,92,0.0094,0.012032000347971916,True,True,0
worker_local_routed_first_shared_second_fusion,2,93,0.0091,0.011487999930977821,True,True,0
worker_local_routed_first_shared_second_fusion,2,94,0.0112,0.013663999736309052,True,True,0
worker_local_routed_first_shared_second_fusion,2,95,0.0095,0.011807999573647976,True,True,0
worker_local_routed_first_shared_second_fusion,2,96,0.0096,0.012512000277638435,True,True,0
worker_local_routed_first_shared_second_fusion,2,97,0.0095,0.01235199999064207,True,True,0
worker_local_routed_first_shared_second_fusion,2,98,0.01,0.011264000087976456,True,True,0
worker_local_routed_first_shared_second_fusion,2,99,0.0325,0.03612799942493439,True,True,0
worker_local_routed_first_shared_second_fusion,2,100,0.0093,0.012640000320971012,True,True,0
worker_local_routed_first_shared_second_fusion,2,101,0.0096,0.012799999676644802,True,True,0
worker_local_routed_first_shared_second_fusion,2,102,0.0098,0.013248000293970108,True,True,0
worker_local_routed_first_shared_second_fusion,2,103,0.0094,0.031231999397277832,True,True,0
worker_local_routed_first_shared_second_fusion,2,104,0.0103,0.013279999606311321,True,True,0
worker_local_routed_first_shared_second_fusion,2,105,0.0104,0.012608000077307224,True,True,0
worker_local_routed_first_shared_second_fusion,2,106,0.0302,0.033344000577926636,True,True,0
worker_local_routed_first_shared_second_fusion,2,107,0.0098,0.012896000407636166,True,True,0
worker_local_routed_first_shared_second_fusion,2,108,0.0095,0.012927999719977379,True,True,0
worker_local_routed_first_shared_second_fusion,2,109,0.0096,0.013567999936640263,True,True,0
worker_local_routed_first_shared_second_fusion,2,110,0.0098,0.012992000207304955,True,True,0
worker_local_routed_first_shared_second_fusion,2,111,0.0098,0.012959999963641167,True,True,0
worker_local_routed_first_shared_second_fusion,2,112,0.0107,0.013887999579310417,True,True,0
worker_local_routed_first_shared_second_fusion,2,113,0.0093,0.012575999833643436,True,True,0
worker_local_routed_first_shared_second_fusion,2,114,0.0094,0.012671999633312225,True,True,0
worker_local_routed_first_shared_second_fusion,2,115,0.0097,0.012959999963641167,True,True,0
worker_local_routed_first_shared_second_fusion,2,116,0.0097,0.013791999779641628,True,True,0
worker_local_routed_first_shared_second_fusion,2,117,0.0097,0.012736000120639801,True,True,0
worker_local_routed_first_shared_second_fusion,2,118,0.0098,0.013279999606311321,True,True,0
worker_local_routed_first_shared_second_fusion,2,119,0.0094,0.012799999676644802,True,True,0
worker_local_routed_first_shared_second_fusion,2,120,0.0097,0.012864000163972378,True,True,0
worker_local_routed_first_shared_second_fusion,2,121,0.0088,0.012256000190973282,True,True,0
