split,layer,layer_type,rows,operation,degree,p50_ms,measurement_kind,production_native_dispatch,timed_checkpoint_reads
heldout,91,GATED_MLA,1,latent_up_reduction,8,1.46,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,91,GATED_MLA,1,output_state_commit,1,0.15365,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,91,GATED_MLA,1,post_attention_preprocess,1,0.35714999999999997,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,91,GATED_MLA,1,routed_norm,1,0.12555,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,91,GATED_MLA,1,routed_shared_reduction,2,1.1742,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,91,GATED_MLA,1,router,1,0.63565,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,91,GATED_MLA,1,shared_expert,8,0.10744999999999999,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,91,GATED_MLA,1,shared_reduction,8,1.46,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,91,GATED_MLA,2,attention_common,1,0.09625,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,91,GATED_MLA,2,attention_preprocess,1,0.57095,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,91,GATED_MLA,2,attention_reduction,8,1.514,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,91,GATED_MLA,2,attention_shard,8,0.2875,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,91,GATED_MLA,2,expert_reduction,8,1.0752,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,91,GATED_MLA,2,expert_stripe,8,0.3727,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,91,GATED_MLA,2,latent_down,8,0.049,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,91,GATED_MLA,2,latent_up,8,0.0584,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,91,GATED_MLA,2,latent_up_reduction,8,1.46,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,91,GATED_MLA,2,output_state_commit,1,0.15539999999999998,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,91,GATED_MLA,2,post_attention_preprocess,1,0.5749,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,91,GATED_MLA,2,routed_norm,1,0.1383,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,91,GATED_MLA,2,routed_shared_reduction,2,1.2424,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,91,GATED_MLA,2,router,1,0.6335500000000001,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,91,GATED_MLA,2,shared_expert,8,0.123,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,91,GATED_MLA,2,shared_reduction,8,1.46,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,91,GATED_MLA,4,attention_common,1,0.17175,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,91,GATED_MLA,4,attention_preprocess,1,1.0251,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,91,GATED_MLA,4,attention_reduction,8,1.6005500000000001,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,91,GATED_MLA,4,attention_shard,8,0.48385,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,91,GATED_MLA,4,expert_reduction,8,1.466,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,91,GATED_MLA,4,expert_stripe,8,0.63645,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,91,GATED_MLA,4,latent_down,8,0.0894,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,91,GATED_MLA,4,latent_up,8,0.0811,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,91,GATED_MLA,4,latent_up_reduction,8,1.5376,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,91,GATED_MLA,4,output_state_commit,1,0.1817,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,91,GATED_MLA,4,post_attention_preprocess,1,1.0264,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,91,GATED_MLA,4,routed_norm,1,0.1436,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,91,GATED_MLA,4,routed_shared_reduction,2,1.2015,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,91,GATED_MLA,4,router,1,0.63895,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,91,GATED_MLA,4,shared_expert,8,0.219,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,91,GATED_MLA,4,shared_reduction,8,1.5376,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
