split,candidate_id,candidate_type,degree,layer,layer_type,rows,sample_index,wall_ms,finite_output,production_native_dispatch,timed_checkpoint_reads,resident_weights
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,97,32.8864,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,98,33.5814,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,99,34.3102,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,2,0,37.4533,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,2,1,37.6014,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,2,2,37.0798,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,2,3,36.8888,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,2,4,36.7068,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,2,5,36.7947,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,2,6,36.5181,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,2,7,36.0409,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,2,8,36.7206,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,2,9,37.5372,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,2,10,36.5629,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,2,11,36.4696,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,2,12,37.0118,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,2,13,36.2532,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,2,14,37.0615,True,True,0,True
