scenario,network_stress_percent,layer,layer_type,rows,concurrency,arm,status,warmup_blocks_per_stream,measured_blocks_per_stream,measured_blocks,measured_rows,measurement_window_ms,aggregate_blocks_per_second,aggregate_rows_per_second,p50_block_latency_ms,p95_block_latency_ms,total_network_bytes,moe_network_bytes,moe_network_bytes_per_row,moe_network_messages,moe_network_messages_per_block,worker_compute_ms,compute_queue_wait_ms,network_queue_wait_ms,task_count_simulated,task_graph_replication_factor,evidence_class
COMMODITY_REGIONAL,10.0,89,KDA,4,32,B_RETAIN_HIDDEN,PASS,2,8,256,1024,6694.273295555543,38.24164157892439,152.96656631569755,828.4182755555667,828.4182755555667,1237712896,823001088,803712.0,10752,42.0,10675.556266666974,2286.6053333332247,1884287.5563999962,37120,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_REGIONAL,10.0,89,KDA,4,32,C_SLICE_LATENT,PASS,2,8,256,1024,6694.273295555543,38.24164157892439,152.96656631569755,828.4182755555667,828.4182755555667,1147797504,733085696,715904.0,10752,42.0,10675.556266666974,2286.6053333332247,1885086.8043288856,37120,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_REGIONAL,10.0,89,KDA,4,32,D_FUSE_OUTPUT,PASS,2,8,256,1024,6351.713601666762,40.30408422899022,161.21633691596088,782.2518044444732,791.8079972222096,942276608,527564800,515200.0,8960,35.0,10005.885866666802,2286.6053333332247,1751613.2770045025,36800,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_REGIONAL,10.0,91,GATED_MLA,1,32,A_CURRENT,PASS,2,8,256,256,5998.499492222165,42.67733961333785,42.67733961333785,745.2239644444489,745.2239644444489,375029760,257130496,1004416.0,10752,42.0,5518.506666666761,908.2752000000401,1214056.6289499605,37120,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_REGIONAL,10.0,91,GATED_MLA,1,32,B_RETAIN_HIDDEN,PASS,2,8,256,256,5978.184199999814,42.82236736700217,42.82236736700217,742.7845688888629,742.7845688888638,323649536,205750272,803712.0,10752,42.0,5518.506666666761,1099.8016000000716,1700985.4965332835,37120,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_REGIONAL,10.0,91,GATED_MLA,1,32,C_SLICE_LATENT,PASS,2,8,256,256,5978.184199999814,42.82236736700217,42.82236736700217,742.7845688888629,742.7845688888638,301170688,183271424,715904.0,10752,42.0,5518.506666666761,1099.8016000000716,1701185.3085154835,37120,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_REGIONAL,10.0,91,GATED_MLA,1,32,D_FUSE_OUTPUT,PASS,2,8,256,256,5907.104065555573,43.33764855993319,43.33764855993319,733.5003022222372,733.5003022222372,249790464,131891200,515200.0,8960,35.0,4876.019200000075,1099.8016000000716,1676798.7079822018,36800,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_REGIONAL,10.0,91,GATED_MLA,2,32,A_CURRENT,PASS,2,8,256,512,6260.212284444256,40.89318195105362,81.78636390210724,776.207928888849,776.2079288888935,750059520,514260992,1004416.0,10752,42.0,6761.830400000492,1246.7207999999482,1263676.2683255041,37120,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_REGIONAL,10.0,91,GATED_MLA,2,32,B_RETAIN_HIDDEN,PASS,2,8,256,512,6218.9180749997995,41.164716581349765,82.32943316269953,771.329137777735,771.3291377777787,647299072,411500544,803712.0,10752,42.0,6761.830400000492,1440.7175999999822,1764214.2642665983,37120,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_REGIONAL,10.0,91,GATED_MLA,2,32,C_SLICE_LATENT,PASS,2,8,256,512,6218.9180749997995,41.164716581349765,82.32943316269953,771.329137777735,771.3291377777787,602341376,366542848,715904.0,10752,42.0,6761.830400000492,1440.7175999999822,1764613.8882310379,37120,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_REGIONAL,10.0,91,GATED_MLA,2,32,D_FUSE_OUTPUT,PASS,2,8,256,512,6078.527431111041,42.11546347389075,84.2309269477815,752.7606044444256,752.7606044444547,499580928,263782400,515200.0,8960,35.0,6101.555200000378,1440.7175999999781,1713067.913831091,36800,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
