scenario,layer,rows,concurrency,a_p50_block_latency_ms,d_p50_block_latency_ms,latency_gap_closure_percent,d_regression_percent
COMMODITY_GOOD,91,4,8,101.39520000000618,79.55920000000333,21.53553619895372,0.0
COMMODITY_GOOD,91,4,32,405.5808000000252,318.2368000000133,21.535536198953807,0.0
COMMODITY_GOOD,91,4,128,1620.863799999789,1272.9471999998116,21.4648880430313,0.0
COMMODITY_REGIONAL,89,1,1,58.07187444444446,48.3452477777778,16.749290012968014,0.0
COMMODITY_REGIONAL,89,1,8,185.74165333333076,182.81073777777783,1.5779527655507226,0.0
COMMODITY_REGIONAL,89,1,32,742.966613333323,731.2429511111113,1.5779527655507226,0.0
COMMODITY_REGIONAL,89,1,128,2971.866453333292,2924.9718044442125,1.577952765558557,0.0
COMMODITY_REGIONAL,89,2,1,61.25987388888889,50.806195555555576,17.064479029607288,0.0
COMMODITY_REGIONAL,89,2,8,192.9233066666675,187.06147555555435,3.0384255859978566,0.0
COMMODITY_REGIONAL,89,2,32,771.6932266666263,748.2459022222029,3.0384255859942573,0.0
COMMODITY_REGIONAL,89,2,128,3086.7729066666216,2992.983608888928,3.0384255859941423,0.0
COMMODITY_REGIONAL,89,4,1,68.91757277777782,56.943116111111166,17.375041203609783,0.0
COMMODITY_REGIONAL,89,4,8,207.28661333333366,195.56295111111035,5.655773922733116,0.0
COMMODITY_REGIONAL,89,4,32,829.1464533333492,782.2518044444732,5.655773922730932,0.0
COMMODITY_REGIONAL,89,4,128,3316.5858133331085,3129.00721777766,5.655773922729751,0.0
COMMODITY_REGIONAL,91,1,1,57.9054666666667,48.183615,16.78917764816682,0.0
COMMODITY_REGIONAL,91,1,8,186.30599111111223,183.37507555555567,1.5731730032281028,0.0
COMMODITY_REGIONAL,91,1,32,745.2239644444489,733.5003022222372,1.5731730032261502,0.0
COMMODITY_REGIONAL,91,1,128,2980.8958577776793,2934.0012088885996,1.5731730032340223,0.0
COMMODITY_REGIONAL,91,2,1,61.112833333333356,50.66937999999999,17.088805679112724,0.0
COMMODITY_REGIONAL,91,2,8,194.05198222222293,188.19015111111003,3.0207530188483727,0.0
COMMODITY_REGIONAL,91,2,32,776.207928888849,752.7606044444256,3.0207530188449065,0.0
COMMODITY_REGIONAL,91,2,128,3104.8317155556288,3011.042417777935,3.02075301884468,0.0
COMMODITY_REGIONAL,91,4,1,68.79266666666672,56.824810000000056,17.396994834720736,0.0
COMMODITY_REGIONAL,91,4,8,209.54396444444512,197.82030222222215,5.594846052142523,0.0
COMMODITY_REGIONAL,91,4,32,838.1758577777946,791.2812088889186,5.59484605214053,0.0
COMMODITY_REGIONAL,91,4,128,3352.7034311109446,3165.1248355554417,5.594846052140893,0.0
COMMODITY_WAN,89,1,1,206.4993944444446,174.64172777777793,15.427486725747986,0.0
COMMODITY_WAN,89,1,8,779.6565333333347,750.3473777777763,3.7592393961287494,0.0
COMMODITY_WAN,89,1,32,3118.626133333426,3001.3895111111924,3.759239396128644,0.0
COMMODITY_WAN,89,1,128,12474.504533332773,12005.558044443838,3.7592393961289243,0.0
COMMODITY_WAN,89,2,1,225.7949138888888,187.6191555555555,16.90727114965892,0.0
COMMODITY_WAN,89,2,8,851.4730666666692,792.854755555556,6.884341197143323,0.0
COMMODITY_WAN,89,2,32,3405.8922666667495,3171.4190222222824,6.884341197143604,0.0
COMMODITY_WAN,89,2,128,13623.569066666067,12685.67608888913,6.884341197137238,0.0
COMMODITY_WAN,89,4,1,265.6676527777779,214.789036111111,19.151227533607628,0.0
COMMODITY_WAN,89,4,8,995.1061333333437,877.8695111111156,11.781318423746045,0.0
COMMODITY_WAN,89,4,32,3980.4245333333874,3511.4780444444623,11.781318423746328,0.0
COMMODITY_WAN,89,4,128,15921.698133334517,14045.91217777818,11.78131842374961,0.0
COMMODITY_WAN,91,1,1,206.9678666666669,175.11497500000007,15.390259454124667,0.0
COMMODITY_WAN,91,1,8,785.299911111113,755.9907555555578,3.7322244840300534,0.0
COMMODITY_WAN,91,1,32,3141.1996444445103,3023.963022222277,3.73222448403039,0.0
COMMODITY_WAN,91,1,128,12564.79857777711,12095.852088888176,3.732224484030666,0.0
COMMODITY_WAN,91,2,1,226.91763333333336,188.75210000000004,16.819113073187044,0.0
COMMODITY_WAN,91,2,8,862.7598222222223,804.1415111111128,6.7942791958166895,0.0
COMMODITY_WAN,91,2,32,3451.039288888889,3216.566044444451,6.7942791958166895,0.0
COMMODITY_WAN,91,2,128,13804.157155554742,12866.264177777804,6.794279195811187,0.0
COMMODITY_WAN,91,4,1,268.0822666666668,217.21025000000003,18.976270716899364,0.0
COMMODITY_WAN,91,4,8,1017.6796444444626,900.443022222229,11.51999284472585,0.0
COMMODITY_WAN,91,4,32,4070.7185777778486,3601.772088888916,11.51999284472581,0.0
COMMODITY_WAN,91,4,128,16282.874311111867,14407.088355556949,11.519992844720493,0.0
