inventory_id,arm,network_mode,concurrency,layer_id,logical_group_id,primary_node,alternate_node,selected_primary_count,selected_alternate_count,alternate_selection_rate
coarse-friendly-03,FLEX_FREE,SHARED_NIC,32,27,1,coarse-024,coarse-026,403,82,0.16907216494845362
coarse-friendly-03,FLEX_FREE,SHARED_NIC,32,27,2,coarse-045,coarse-026,399,86,0.177319587628866
coarse-friendly-03,FLEX_FREE,SHARED_NIC,32,27,3,coarse-036,coarse-026,361,124,0.2556701030927835
coarse-friendly-03,FLEX_FREE,SHARED_NIC,32,27,4,coarse-018,coarse-026,471,14,0.0288659793814433
coarse-friendly-03,FLEX_FREE,SHARED_NIC,32,27,5,coarse-034,coarse-026,392,93,0.19175257731958764
coarse-friendly-03,FLEX_FREE,SHARED_NIC,32,27,6,coarse-037,coarse-026,350,135,0.27835051546391754
coarse-friendly-03,FLEX_FREE,SHARED_NIC,32,27,7,coarse-011,coarse-026,400,85,0.17525773195876287
coarse-friendly-03,FLEX_FREE,SHARED_NIC,64,3,0,coarse-006,coarse-038,178,147,0.4523076923076923
coarse-friendly-03,FLEX_FREE,SHARED_NIC,64,3,5,coarse-037,coarse-006,175,150,0.46153846153846156
coarse-friendly-03,FLEX_FREE,SHARED_NIC,64,3,6,coarse-047,coarse-006,184,141,0.4338461538461538
coarse-friendly-03,FLEX_FREE,SHARED_NIC,64,3,7,coarse-034,coarse-038,204,121,0.3723076923076923
coarse-friendly-03,FLEX_FREE,SHARED_NIC,64,6,0,coarse-000,coarse-009,298,27,0.08307692307692308
coarse-friendly-03,FLEX_FREE,SHARED_NIC,64,6,1,coarse-036,coarse-009,193,132,0.40615384615384614
coarse-friendly-03,FLEX_FREE,SHARED_NIC,64,6,2,coarse-046,coarse-009,262,63,0.19384615384615383
coarse-friendly-03,FLEX_FREE,SHARED_NIC,64,6,3,coarse-013,coarse-009,274,51,0.15692307692307692
coarse-friendly-03,FLEX_FREE,SHARED_NIC,64,6,4,coarse-047,coarse-009,258,67,0.20615384615384616
coarse-friendly-03,FLEX_FREE,SHARED_NIC,64,6,5,coarse-038,coarse-009,257,68,0.20923076923076922
coarse-friendly-03,FLEX_FREE,SHARED_NIC,64,6,6,coarse-012,coarse-009,239,86,0.26461538461538464
coarse-friendly-03,FLEX_FREE,SHARED_NIC,64,6,7,coarse-025,coarse-009,259,66,0.20307692307692307
coarse-friendly-03,FLEX_FREE,SHARED_NIC,64,27,0,coarse-007,coarse-026,308,17,0.052307692307692305
coarse-friendly-03,FLEX_FREE,SHARED_NIC,64,27,1,coarse-024,coarse-026,276,49,0.15076923076923077
coarse-friendly-03,FLEX_FREE,SHARED_NIC,64,27,2,coarse-045,coarse-026,250,75,0.23076923076923078
coarse-friendly-03,FLEX_FREE,SHARED_NIC,64,27,3,coarse-036,coarse-026,237,88,0.27076923076923076
coarse-friendly-03,FLEX_FREE,SHARED_NIC,64,27,4,coarse-018,coarse-026,316,9,0.027692307692307693
coarse-friendly-03,FLEX_FREE,SHARED_NIC,64,27,5,coarse-034,coarse-026,264,61,0.18769230769230769
coarse-friendly-03,FLEX_FREE,SHARED_NIC,64,27,6,coarse-037,coarse-026,248,77,0.23692307692307693
coarse-friendly-03,FLEX_FREE,SHARED_NIC,64,27,7,coarse-011,coarse-026,275,50,0.15384615384615385
coarse-friendly-03,FLEX_FREE,SHARED_NIC,128,3,0,coarse-006,coarse-038,367,278,0.4310077519379845
coarse-friendly-03,FLEX_FREE,SHARED_NIC,128,3,5,coarse-037,coarse-006,361,284,0.44031007751937984
coarse-friendly-03,FLEX_FREE,SHARED_NIC,128,3,6,coarse-047,coarse-006,381,264,0.40930232558139534
coarse-friendly-03,FLEX_FREE,SHARED_NIC,128,3,7,coarse-034,coarse-038,393,252,0.39069767441860465
coarse-friendly-03,FLEX_FREE,SHARED_NIC,128,6,0,coarse-000,coarse-009,594,51,0.07906976744186046
