inventory_id,family,cohort,arm,network_mode,concurrency,status,target_passes_measured,target_rows_measured,measurement_window_ms,target_rows_per_second,p50_pass_latency_ms,p95_pass_latency_ms,abstract_node_cost,rows_per_second_per_abstract_cost,network_bytes,network_bytes_per_target_row,worker_compute_ms,worker_compute_ms_per_target_row,nodes_used,replica_nodes,replica_count,replica_checkpoint_bytes,replica_resident_bytes,new_nodes_activated,maximum_compute_utilization,maximum_tx_utilization,maximum_rx_utilization,plan_sha256
coarse-friendly-02,coarse-friendly,negative_control,FLEX_FREE,SHARED_NIC,128,PASS,129,2193,72091.00315070133,30.41988464795923,36059.712210102734,36237.3067009604,47.71009999999999,0.6375984256574444,7560533376,3447575.638850889,636581.425062504,290.27880759804106,48,1,8,15722348544,17187192052,0,0.453816186072613,0.05916348480661285,0.06900977753354522,eaf243fb7246000d03f20744d56720e9d658d019aa074836f6d7911216dba8db
coarse-friendly-02,coarse-friendly,negative_control,FLEX_FREE_NO_ALT,SHARED_NIC,1,PASS,128,2176,163761.44277759537,13.287621085234505,1279.3862717000084,1279.386271700103,47.71009999999999,0.2785075085827636,7497695232,3445632.0,631619.5152000041,290.2663213235313,48,0,0,0,0,0,0.19823012456043945,0.02568935490946683,0.02999037714311058,61e194bf763650c2aeed02bab90899431ee5a5e28fb7dcbc33ed2f3622fed31e
coarse-friendly-02,coarse-friendly,negative_control,FLEX_FREE_NO_ALT,SHARED_NIC,8,PASS,121,2057,35683.663776495036,57.645426010177616,2212.866993399268,2414.542337399831,47.71009999999999,1.2082436635047427,7087665024,3445632.0,597077.8229625039,290.2663213235313,48,0,0,0,0,0,0.8599778624809753,0.11144762468644162,0.13010666510814284,61e194bf763650c2aeed02bab90899431ee5a5e28fb7dcbc33ed2f3622fed31e
coarse-friendly-02,coarse-friendly,negative_control,FLEX_FREE_NO_ALT,SHARED_NIC,32,PASS,97,1649,35976.12880989571,45.83594885135115,8986.969160497276,9149.022393339963,47.71009999999999,0.9607179371108246,5681847168,3445632.0,478649.1638625031,290.26632132353126,48,0,0,0,0,0,0.6837992889672255,0.088616009600318,0.10345248287459627,61e194bf763650c2aeed02bab90899431ee5a5e28fb7dcbc33ed2f3622fed31e
coarse-friendly-02,coarse-friendly,negative_control,FLEX_FREE_NO_ALT,SHARED_NIC,64,PASS,65,1105,36316.25271030039,30.42714810954569,18105.804118899934,18238.765635319935,47.71009999999999,0.6377506672496116,3807423360,3445632.0,320744.2850625021,290.2663213235313,48,0,0,0,0,0,0.4539245453406706,0.05882571467496352,0.06867456870880921,61e194bf763650c2aeed02bab90899431ee5a5e28fb7dcbc33ed2f3622fed31e
coarse-friendly-02,coarse-friendly,negative_control,FLEX_FREE_NO_ALT,SHARED_NIC,128,PASS,129,2193,71902.37216800143,30.499689146221886,35975.164943502765,36142.55474102139,47.71009999999999,0.6392711217587449,7556270976,3445632.0,636554.0426625041,290.2663213235313,48,0,0,0,0,0,0.45500674196893287,0.058965960428866315,0.06883829500972619,61e194bf763650c2aeed02bab90899431ee5a5e28fb7dcbc33ed2f3622fed31e
coarse-friendly-02,coarse-friendly,negative_control,FLEX_POOL,LEGACY_DIRECTED_LINK,1,PASS,128,2176,492739.28346954513,4.416128514613332,3849.525652100201,3849.5256521124975,47.71009999999999,0.09256171155820954,7497695232,3445632.0,631619.5152000041,290.2663213235313,48,1,8,15722348544,17187192052,0,0.06588159760963411,0.008537833221612844,0.009967273962445414,eaf243fb7246000d03f20744d56720e9d658d019aa074836f6d7911216dba8db
coarse-friendly-02,coarse-friendly,negative_control,FLEX_POOL,LEGACY_DIRECTED_LINK,8,PASS,121,2057,492739.28346938535,4.17462148647177,30796.20521689899,30796.20521689998,47.71009999999999,0.08749974295739835,7087665024,3445632.0,597077.8229625039,290.2663213235313,48,1,8,15722348544,17187192052,0,0.062278697740377434,0.008070920467308507,0.009422188667627236,eaf243fb7246000d03f20744d56720e9d658d019aa074836f6d7911216dba8db
coarse-friendly-02,coarse-friendly,negative_control,FLEX_POOL,LEGACY_DIRECTED_LINK,32,PASS,97,1649,492739.2834679334,3.3465973899913624,123184.8208672626,123184.82086759992,47.71009999999999,0.07014442204043511,5681847168,3445632.0,478649.1638625031,290.26632132353126,48,1,8,15722348544,17187192052,0,0.049925898188714145,0.006470076738274651,0.007553324799690371,eaf243fb7246000d03f20744d56720e9d658d019aa074836f6d7911216dba8db
coarse-friendly-02,coarse-friendly,negative_control,FLEX_POOL,LEGACY_DIRECTED_LINK,64,PASS,65,1105,492739.28346521856,2.242565261346774,246369.64173243195,246369.64173264822,47.71009999999999,0.04700399415106601,3807423360,3445632.0,320744.2850625021,290.2663213235313,48,1,8,15722348544,17187192052,0,0.033455498786436076,0.004335618432888354,0.005061506309098754,eaf243fb7246000d03f20744d56720e9d658d019aa074836f6d7911216dba8db
coarse-friendly-02,coarse-friendly,negative_control,FLEX_POOL,LEGACY_DIRECTED_LINK,128,PASS,129,2193,985478.5669321567,2.225314759332531,492739.2834661603,492739.2834661603,47.71009999999999,0.04664242496520719,7556270976,3445632.0,636554.0426625041,290.2663213235313,48,1,8,15722348544,17187192052,0,0.03319814879571326,0.004302267521858617,0.0050225716451738475,eaf243fb7246000d03f20744d56720e9d658d019aa074836f6d7911216dba8db
coarse-friendly-02,coarse-friendly,negative_control,FLEX_POOL,SHARED_NIC,1,PASS,128,2176,163761.44277759537,13.287621085234505,1279.3862717000084,1279.386271700103,47.71009999999999,0.2785075085827636,7497695232,3445632.0,631619.5152000041,290.2663213235313,48,1,8,15722348544,17187192052,0,0.19823012456043945,0.02568935490946683,0.02999037714311058,eaf243fb7246000d03f20744d56720e9d658d019aa074836f6d7911216dba8db
coarse-friendly-02,coarse-friendly,negative_control,FLEX_POOL,SHARED_NIC,8,PASS,121,2057,35557.257958995,57.850355119400774,2225.8120078993634,2334.417401400002,47.71009999999999,1.2125389617586377,7090977024,3447242.1118133203,597099.262462504,290.27674402649683,48,1,8,15722348544,17187192052,0,0.8630350781094752,0.11240715638447855,0.13113219838765644,eaf243fb7246000d03f20744d56720e9d658d019aa074836f6d7911216dba8db
coarse-friendly-02,coarse-friendly,negative_control,FLEX_POOL,SHARED_NIC,32,PASS,97,1649,35809.77087859562,46.04888441175835,8967.857815499978,9097.922948699947,47.71009999999999,0.9651810499612946,5684842368,3447448.3735597334,478668.8990625032,290.2782893041256,48,1,8,15722348544,17187192052,0,0.6869759480841665,0.08955277574023296,0.10445787596579854,eaf243fb7246000d03f20744d56720e9d658d019aa074836f6d7911216dba8db
