inventory_id,arm,network_mode,concurrency,layer_id,logical_group_id,primary_node,alternate_node,selected_primary_count,selected_alternate_count,alternate_selection_rate
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,128,12,1,coarse-013,coarse-014,645,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,128,12,2,coarse-047,coarse-014,645,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,128,12,3,coarse-045,coarse-014,645,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,128,12,4,coarse-027,coarse-014,645,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,128,12,5,coarse-005,coarse-014,645,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,128,12,6,coarse-017,coarse-014,645,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,128,12,7,coarse-044,coarse-014,645,0,0.0
coarse-friendly-01,FLEX_POOL,SHARED_NIC,1,1,0,coarse-008,coarse-019,640,0,0.0
coarse-friendly-01,FLEX_POOL,SHARED_NIC,1,1,5,coarse-027,coarse-019,640,0,0.0
coarse-friendly-01,FLEX_POOL,SHARED_NIC,1,2,0,coarse-005,coarse-045,512,128,0.2
coarse-friendly-01,FLEX_POOL,SHARED_NIC,1,2,1,coarse-027,coarse-005,384,256,0.4
coarse-friendly-01,FLEX_POOL,SHARED_NIC,1,12,0,coarse-007,coarse-014,640,0,0.0
coarse-friendly-01,FLEX_POOL,SHARED_NIC,1,12,1,coarse-013,coarse-014,640,0,0.0
coarse-friendly-01,FLEX_POOL,SHARED_NIC,1,12,2,coarse-047,coarse-014,640,0,0.0
coarse-friendly-01,FLEX_POOL,SHARED_NIC,1,12,3,coarse-045,coarse-014,640,0,0.0
coarse-friendly-01,FLEX_POOL,SHARED_NIC,1,12,4,coarse-027,coarse-014,640,0,0.0
coarse-friendly-01,FLEX_POOL,SHARED_NIC,1,12,5,coarse-005,coarse-014,640,0,0.0
coarse-friendly-01,FLEX_POOL,SHARED_NIC,1,12,6,coarse-017,coarse-014,512,128,0.2
coarse-friendly-01,FLEX_POOL,SHARED_NIC,1,12,7,coarse-044,coarse-014,640,0,0.0
coarse-friendly-01,FLEX_POOL,SHARED_NIC,8,1,0,coarse-008,coarse-019,320,285,0.47107438016528924
coarse-friendly-01,FLEX_POOL,SHARED_NIC,8,1,5,coarse-027,coarse-019,237,368,0.6082644628099173
coarse-friendly-01,FLEX_POOL,SHARED_NIC,8,2,0,coarse-005,coarse-045,265,340,0.5619834710743802
coarse-friendly-01,FLEX_POOL,SHARED_NIC,8,2,1,coarse-027,coarse-005,364,241,0.39834710743801655
coarse-friendly-01,FLEX_POOL,SHARED_NIC,8,12,0,coarse-007,coarse-014,524,81,0.13388429752066117
coarse-friendly-01,FLEX_POOL,SHARED_NIC,8,12,1,coarse-013,coarse-014,554,51,0.08429752066115702
coarse-friendly-01,FLEX_POOL,SHARED_NIC,8,12,2,coarse-047,coarse-014,467,138,0.228099173553719
coarse-friendly-01,FLEX_POOL,SHARED_NIC,8,12,3,coarse-045,coarse-014,470,135,0.2231404958677686
coarse-friendly-01,FLEX_POOL,SHARED_NIC,8,12,4,coarse-027,coarse-014,442,163,0.2694214876033058
coarse-friendly-01,FLEX_POOL,SHARED_NIC,8,12,5,coarse-005,coarse-014,523,82,0.13553719008264462
coarse-friendly-01,FLEX_POOL,SHARED_NIC,8,12,6,coarse-017,coarse-014,454,151,0.24958677685950414
coarse-friendly-01,FLEX_POOL,SHARED_NIC,8,12,7,coarse-044,coarse-014,435,170,0.2809917355371901
coarse-friendly-01,FLEX_POOL,SHARED_NIC,32,1,0,coarse-008,coarse-019,247,238,0.49072164948453606
coarse-friendly-01,FLEX_POOL,SHARED_NIC,32,1,5,coarse-027,coarse-019,198,287,0.5917525773195876
coarse-friendly-01,FLEX_POOL,SHARED_NIC,32,2,0,coarse-005,coarse-045,191,294,0.6061855670103092
coarse-friendly-01,FLEX_POOL,SHARED_NIC,32,2,1,coarse-027,coarse-005,293,192,0.3958762886597938
coarse-friendly-01,FLEX_POOL,SHARED_NIC,32,12,0,coarse-007,coarse-014,411,74,0.15257731958762888
coarse-friendly-01,FLEX_POOL,SHARED_NIC,32,12,1,coarse-013,coarse-014,439,46,0.09484536082474226
coarse-friendly-01,FLEX_POOL,SHARED_NIC,32,12,2,coarse-047,coarse-014,380,105,0.21649484536082475
coarse-friendly-01,FLEX_POOL,SHARED_NIC,32,12,3,coarse-045,coarse-014,378,107,0.22061855670103092
coarse-friendly-01,FLEX_POOL,SHARED_NIC,32,12,4,coarse-027,coarse-014,366,119,0.24536082474226803
